""	"Subtype1-Subtype2"	"Subtype1-Subtype3"	"Subtype1-Subtype4"	"Subtype1-Subtype5"	"Subtype1-Subtype6"	"Subtype2-Subtype3"	"Subtype2-Subtype4"	"Subtype2-Subtype5"	"Subtype2-Subtype6"	"Subtype3-Subtype4"	"Subtype3-Subtype5"	"Subtype3-Subtype6"	"Subtype4-Subtype5"	"Subtype4-Subtype6"	"Subtype5-Subtype6"
"ABCD1"	0.0260702559486653	0.226190105949722	0.539211788944077	0.427388621715896	0.0434370765910507	0.297315122251803	0.111997982854452	0.00652566787090457	0.000373817296897506	0.442678729460672	0.0332187258039468	0.000341751581478854	0.191462952562884	0.00877884836036099	0.473047090918588
"ABCD2"	0.0573455456374758	0.000714087374148899	0.928745662131953	0.23916130081695	0.0513681708454567	0.510005366654969	0.086262634442376	0.580419741190972	0.756658328165738	0.000139228853129145	0.0984343051850933	0.0917775148554813	0.301919025889131	0.0735038303863089	0.810769153799386
"ABCD3"	0.0088066824744232	0.00169830107128128	0.398796280087759	6.45572893382751e-05	1.08703446534525e-07	0.853440114304802	0.070298837111587	0.52745987527686	0.252088726267581	0.00894120064644735	0.208112310165855	0.0206834199937592	0.00146857544765511	7.16405036282835e-06	0.60461338672318
"ABCD4"	0.338139018358406	0.507212607222589	0.00470989646136297	0.00341027528030254	0.000792725907708181	0.758910774124347	0.468734837105652	0.222851693983559	0.236578891737062	0.0402247870071566	0.0230654577797462	0.0092278335403017	0.613263604763278	0.566736031092595	0.990296766354997
"ABCE1"	5.3621285346896e-07	0.07260744080985	0.00128816382149857	0.0886608499804701	0.000416572928216339	0.000491059015576903	0.00755285465299915	0.00129582777087011	0.0316359292500431	0.231544366303393	0.938238136446945	0.1067796316324	0.457355193258164	0.68728131848558	0.277509532247054
"ABCF1"	0.479611337126685	0.946670286760675	2.774636532399e-05	0.0225943712579397	0.051521059419344	0.4750698376656	0.0481129078695244	0.340124834226071	0.628514149309557	4.07242693172018e-06	0.0128746235038064	0.031939659750963	0.32335432013254	0.0666864797389729	0.673014536313229
"ABCF2"	2.59640145561942e-08	0.134587828675886	2.25091213328375e-05	0.398956988531076	2.94414471884286e-10	1.95591231626736e-05	0.0100953330022117	8.97734850028171e-06	0.57554881315892	0.00733559506692982	0.634527795310892	4.77969521910844e-07	0.0138225743384096	0.0126139823994387	7.8320787481613e-06
"ABCF3"	0.00752241507339219	0.0909454799401669	3.53653392755056e-05	0.0962647216921987	4.35825560564389e-15	0.257262285947897	0.885955436735323	0.327141825319539	0.000334643879974934	0.0188565871839182	0.905852306899818	1.95566475177511e-11	0.122188992827916	1.93183261397042e-06	6.05912087405114e-08
"ABCG1"	0.809409283371208	0.212930600767885	0.451217281376035	0.498403753256588	0.092171987793289	0.237995116220543	0.491822195571397	0.449934125868856	0.183136496553797	0.513869042302186	0.659013024497985	0.780064485111358	0.957155696877924	0.414271814162429	0.568077670970154
"ABCG2"	0.896015630727605	0.292819984555227	0.0429972458444781	0.0135664687403567	0.274994660372407	0.344348968835502	0.137557620999044	0.0350788923313768	0.406434277828362	0.445649003226388	0.147614448604426	0.947726583638211	0.503794192627652	0.491419827785262	0.198122405703864
