"cell_genes"	"cell_type"	"k"
"TNFRSF12A"	"Alveolar.Fibroblast"	"Cluster 30"
"MMP19"	"Alveolar.Fibroblast"	"Cluster 30"
"PTGS2"	"Alveolar.Fibroblast"	"Cluster 30"
"C10orf10"	"Alveolar.Fibroblast"	"Cluster 30"
"ICAM1"	"Alveolar.Fibroblast"	"Cluster 30"
"COL1A1"	"Lipofibroblast"	"Cluster 31"
"CREM"	"Lipofibroblast"	"Cluster 31"
"FST"	"Lipofibroblast"	"Cluster 31"
"TFPI2"	"Lipofibroblast"	"Cluster 31"
"ALDH1A3"	"Lipofibroblast"	"Cluster 31"
"IFITM1"	"Lipofibroblast"	"Cluster 31"
"C3"	"Lipofibroblast"	"Cluster 31"
"APOE"	"Lipofibroblast"	"Cluster 31"
"SRPX"	"Lipofibroblast"	"Cluster 31"
"WT1"	"Lipofibroblast"	"Cluster 31"
"MLLT11"	"Lipofibroblast"	"Cluster 31"
"MCL1"	"Lipofibroblast"	"Cluster 31"
"TIMP1"	"Lipofibroblast"	"Cluster 31"
"MAT2A"	"Lipofibroblast"	"Cluster 31"
"FKBP1A"	"Lipofibroblast"	"Cluster 31"
"HAS1"	"Lipofibroblast"	"Cluster 31"
"IGFBP4"	"Lipofibroblast"	"Cluster 31"
"MT2A"	"Lipofibroblast"	"Cluster 31"
"NAMPT"	"Lipofibroblast"	"Cluster 31"
"CYP1B1"	"Lipofibroblast"	"Cluster 31"
"MUM1L1"	"Lipofibroblast"	"Cluster 31"
"VEGFA"	"Lipofibroblast"	"Cluster 31"
"PHLDA1"	"Lipofibroblast"	"Cluster 31"
"ADAMTS4"	"Lipofibroblast"	"Cluster 31"
"COL3A1"	"Lipofibroblast"	"Cluster 31"
"SEMA6A"	"Lipofibroblast"	"Cluster 31"
"SLC20A1"	"Lipofibroblast"	"Cluster 31"
"C7"	"Lipofibroblast"	"Cluster 31"
"RPS19"	"Lipofibroblast"	"Cluster 31"
"MEDAG"	"Lipofibroblast"	"Cluster 31"
"HAS2"	"Lipofibroblast"	"Cluster 31"
"CTSL"	"Lipofibroblast"	"Cluster 31"
"NR4A2"	"Lipofibroblast"	"Cluster 31"
"GFPT2"	"Lipofibroblast"	"Cluster 31"
"B4GALT1"	"Lipofibroblast"	"Cluster 31"
"SERPINF1"	"Lipofibroblast"	"Cluster 31"
"PLAUR"	"Lipofibroblast"	"Cluster 31"
"MARCKSL1"	"Lipofibroblast"	"Cluster 31"
"PI15"	"Lipofibroblast"	"Cluster 31"
"LINC00473"	"Lipofibroblast"	"Cluster 31"
"NFIL3"	"Lipofibroblast"	"Cluster 31"
"PLA2G2A"	"Lipofibroblast"	"Cluster 31"
"ACSL4"	"Lipofibroblast"	"Cluster 31"
"MT1X"	"Lipofibroblast"	"Cluster 31"
"NNMT"	"Lipofibroblast"	"Cluster 31"
"RDH10"	"Lipofibroblast"	"Cluster 31"
"UGCG"	"Lipofibroblast"	"Cluster 31"
"FGF7"	"Lipofibroblast"	"Cluster 31"
"C2"	"Lipofibroblast"	"Cluster 31"
"CDKN2A"	"Lipofibroblast"	"Cluster 31"
"PTP4A1"	"Lipofibroblast"	"Cluster 31"
"MYC"	"Lipofibroblast"	"Cluster 31"
"CXCL2"	"Lipofibroblast"	"Cluster 31"
"CPXM1"	"Lipofibroblast"	"Cluster 31"
"APOD"	"Lipofibroblast"	"Cluster 31"
"ATP1B3"	"Lipofibroblast"	"Cluster 31"
"ELL2"	"Lipofibroblast"	"Cluster 31"
"TMSB10"	"Lipofibroblast"	"Cluster 31"
"SAT1"	"Lipofibroblast"	"Cluster 31"
"PDLIM4"	"Lipofibroblast"	"Cluster 31"
"RPS4Y1"	"Lipofibroblast"	"Cluster 31"
"DPT"	"Lipofibroblast"	"Cluster 31"
"PLIN2"	"Lipofibroblast"	"Cluster 31"
"COL1A2"	"Lipofibroblast"	"Cluster 31"
"CFI"	"Lipofibroblast"	"Cluster 31"
"RPL34"	"Lipofibroblast"	"Cluster 31"
"RPL28"	"Lipofibroblast"	"Cluster 31"
"RPL39"	"Lipofibroblast"	"Cluster 31"
"PNRC1"	"Lipofibroblast"	"Cluster 31"
"CCDC80"	"Lipofibroblast"	"Cluster 31"
"RPL37"	"Lipofibroblast"	"Cluster 31"
"RGS2"	"Lipofibroblast"	"Cluster 31"
"PDE4D"	"Lipofibroblast"	"Cluster 31"
"PTGDS"	"Lipofibroblast"	"Cluster 31"
"HOMER1"	"Lipofibroblast"	"Cluster 31"
"CTSH"	"Lipofibroblast"	"Cluster 31"
"TIPARP"	"Lipofibroblast"	"Cluster 31"
"IFI27"	"Lipofibroblast"	"Cluster 31"
"RARRES1"	"Lipofibroblast"	"Cluster 31"
"CRISPLD2"	"Lipofibroblast"	"Cluster 31"
"RPL17"	"Lipofibroblast"	"Cluster 31"
"KCTD20"	"Lipofibroblast"	"Cluster 31"
"STEAP1"	"Lipofibroblast"	"Cluster 31"
"CHSY1"	"Lipofibroblast"	"Cluster 31"
"EIF3J"	"Lipofibroblast"	"Cluster 31"
"COL6A3"	"Lipofibroblast"	"Cluster 31"
"SIK1"	"Lipofibroblast"	"Cluster 31"
"RPS28"	"Lipofibroblast"	"Cluster 31"
"LONRF2"	"Lipofibroblast"	"Cluster 31"
"SPTSSA"	"Lipofibroblast"	"Cluster 31"
"RPS15A"	"Lipofibroblast"	"Cluster 31"
"PDPN"	"Lipofibroblast"	"Cluster 31"
"CCDC71L"	"Lipofibroblast"	"Cluster 31"
"SGK1"	"Lipofibroblast"	"Cluster 31"
"SNU13"	"Lipofibroblast"	"Cluster 31"
"TPT1"	"Lipofibroblast"	"Cluster 31"
"RPL41"	"Lipofibroblast"	"Cluster 31"
"DDX21"	"Lipofibroblast"	"Cluster 31"
"RHOU"	"Lipofibroblast"	"Cluster 31"
"SERPINE2"	"Lipofibroblast"	"Cluster 31"
"ZFP36L1"	"Lipofibroblast"	"Cluster 31"
"ATP13A3"	"Lipofibroblast"	"Cluster 31"
"RPS27"	"Lipofibroblast"	"Cluster 31"
"RPS18"	"Lipofibroblast"	"Cluster 31"
"PIM1"	"Lipofibroblast"	"Cluster 31"
"CD248"	"Lipofibroblast"	"Cluster 31"
"TWIST1"	"Lipofibroblast"	"Cluster 31"
"TUBA1C"	"Lipofibroblast"	"Cluster 31"
"GDF15"	"Lipofibroblast"	"Cluster 31"
"OSR1"	"Lipofibroblast"	"Cluster 31"
"RPS9"	"Lipofibroblast"	"Cluster 31"
"GAS1"	"Lipofibroblast"	"Cluster 31"
"CD74"	"Lipofibroblast"	"Cluster 31"
"RPL36"	"Lipofibroblast"	"Cluster 31"
"HSPE1"	"Lipofibroblast"	"Cluster 31"
"PLSCR1"	"Lipofibroblast"	"Cluster 31"
"PGAP1"	"Lipofibroblast"	"Cluster 31"
"HK2"	"Lipofibroblast"	"Cluster 31"
"CXCL12"	"Lipofibroblast"	"Cluster 31"
"TMEM176B"	"Lipofibroblast"	"Cluster 31"
"MT1M"	"Lipofibroblast"	"Cluster 31"
"GNL3"	"Lipofibroblast"	"Cluster 31"
"ZNF593"	"Lipofibroblast"	"Cluster 31"
"NOP16"	"Lipofibroblast"	"Cluster 31"
"NIFK"	"Lipofibroblast"	"Cluster 31"
"CADM3"	"Lipofibroblast"	"Cluster 31"
"CEBPB"	"Lipofibroblast"	"Cluster 31"
"SLC7A8"	"Lipofibroblast"	"Cluster 31"
"PRDX6"	"Lipofibroblast"	"Cluster 31"
"IFITM3"	"Lipofibroblast"	"Cluster 31"
"PCOLCE"	"Lipofibroblast"	"Cluster 31"
"KDM6B"	"Lipofibroblast"	"Cluster 31"
"SLC19A2"	"Lipofibroblast"	"Cluster 31"
"THBS1"	"Lipofibroblast"	"Cluster 31"
"NCOA7"	"Lipofibroblast"	"Cluster 31"
"MAPKAPK2"	"Lipofibroblast"	"Cluster 31"
"JUNB"	"Lipofibroblast"	"Cluster 31"
"IL1R1"	"Lipofibroblast"	"Cluster 31"
"SH3BP5"	"Lipofibroblast"	"Cluster 31"
"SOCS3"	"Lipofibroblast"	"Cluster 31"
"HLA-DRB1"	"Lipofibroblast"	"Cluster 31"
"RPS29"	"Lipofibroblast"	"Cluster 31"
"NXT1"	"Lipofibroblast"	"Cluster 31"
"TUBB2A"	"Lipofibroblast"	"Cluster 31"
"RPLP0"	"Lipofibroblast"	"Cluster 31"
"S100A13"	"Lipofibroblast"	"Cluster 31"
"RARRES3"	"Lipofibroblast"	"Cluster 31"
"ETF1"	"Lipofibroblast"	"Cluster 31"
"MIDN"	"Lipofibroblast"	"Cluster 31"
"PNO1"	"Lipofibroblast"	"Cluster 31"
"MEIS2"	"Lipofibroblast"	"Cluster 31"
"TGIF1"	"Lipofibroblast"	"Cluster 31"
"PAPPA"	"Lipofibroblast"	"Cluster 31"
"MT1A"	"Lipofibroblast"	"Cluster 31"
"KGFLP2"	"Lipofibroblast"	"Cluster 31"
"RPL13"	"Lipofibroblast"	"Cluster 31"
"RPL32"	"Lipofibroblast"	"Cluster 31"
"SPRY2"	"Lipofibroblast"	"Cluster 31"
"TYMP"	"Lipofibroblast"	"Cluster 31"
"RPL13AP5"	"Lipofibroblast"	"Cluster 31"
"RGS4"	"Lipofibroblast"	"Cluster 31"
"ID4"	"Lipofibroblast"	"Cluster 31"
"C1S"	"Lipofibroblast"	"Cluster 31"
"TSHZ2"	"Lipofibroblast"	"Cluster 31"
"ELOVL5"	"Lipofibroblast"	"Cluster 31"
"HSPD1"	"Lipofibroblast"	"Cluster 31"
"RBP1"	"Lipofibroblast"	"Cluster 31"
"PLXDC1"	"Lipofibroblast"	"Cluster 31"
"UAP1"	"Lipofibroblast"	"Cluster 31"
"ZNF331"	"Lipofibroblast"	"Cluster 31"
"DKK1"	"Lipofibroblast"	"Cluster 31"
"DKC1"	"Lipofibroblast"	"Cluster 31"
"OLFML3"	"Lipofibroblast"	"Cluster 31"
"MMP19"	"Lipofibroblast"	"Cluster 31"
"RPS2"	"Lipofibroblast"	"Cluster 31"
"MTHFD2"	"Lipofibroblast"	"Cluster 31"
"SCG2"	"Lipofibroblast"	"Cluster 31"
"CDKN1A"	"Lipofibroblast"	"Cluster 31"
"CYCS"	"Lipofibroblast"	"Cluster 31"
"RPLP2"	"Lipofibroblast"	"Cluster 31"
"FNDC4"	"Lipofibroblast"	"Cluster 31"
"TNFAIP6"	"Lipofibroblast"	"Cluster 31"
"PROS1"	"Lipofibroblast"	"Cluster 31"
"ACP5"	"Lipofibroblast"	"Cluster 31"
"GSPT1"	"Lipofibroblast"	"Cluster 31"
"ZFAND5"	"Lipofibroblast"	"Cluster 31"
"TRIB1"	"Lipofibroblast"	"Cluster 31"
"CENPW"	"Lipofibroblast"	"Cluster 31"
"MB21D2"	"Lipofibroblast"	"Cluster 31"
"SNRPD1"	"Lipofibroblast"	"Cluster 31"
"ALG13"	"Lipofibroblast"	"Cluster 31"
"RPL35"	"Lipofibroblast"	"Cluster 31"
"RPS17"	"Lipofibroblast"	"Cluster 31"
"BRIX1"	"Lipofibroblast"	"Cluster 31"
"NCL"	"Lipofibroblast"	"Cluster 31"
"RND3"	"Lipofibroblast"	"Cluster 31"
"GUK1"	"Lipofibroblast"	"Cluster 31"
"C1R"	"Lipofibroblast"	"Cluster 31"
"CLDN11"	"Lipofibroblast"	"Cluster 31"
"THBS2"	"Lipofibroblast"	"Cluster 31"
"COL6A1"	"Lipofibroblast"	"Cluster 31"
"DBF4"	"Lipofibroblast"	"Cluster 31"
"IGF1"	"Lipofibroblast"	"Cluster 31"
"CTSC"	"Lipofibroblast"	"Cluster 31"
"HLA-DRA"	"Lipofibroblast"	"Cluster 31"
"RHOQ"	"Lipofibroblast"	"Cluster 31"
"OAF"	"Lipofibroblast"	"Cluster 31"
"CCNH"	"Lipofibroblast"	"Cluster 31"
"ARID5B"	"Lipofibroblast"	"Cluster 31"
"RPS15"	"Lipofibroblast"	"Cluster 31"
"TMEM176A"	"Lipofibroblast"	"Cluster 31"
"TLE1"	"Lipofibroblast"	"Cluster 31"
"DDIT4"	"Lipofibroblast"	"Cluster 31"
"RPS8"	"Lipofibroblast"	"Cluster 31"
"NFE2L2"	"Lipofibroblast"	"Cluster 31"
"NFKBIA"	"Lipofibroblast"	"Cluster 31"
"EIF4A3"	"Lipofibroblast"	"Cluster 31"
"RANBP2"	"Lipofibroblast"	"Cluster 31"
"BST2"	"Lipofibroblast"	"Cluster 31"
"PTPN1"	"Lipofibroblast"	"Cluster 31"
"NOP58"	"Lipofibroblast"	"Cluster 31"
"GLUL"	"Lipofibroblast"	"Cluster 31"
"EGR1"	"Lipofibroblast"	"Cluster 31"
"RPL11"	"Lipofibroblast"	"Cluster 31"
"SFPQ"	"Lipofibroblast"	"Cluster 31"
"UQCRH"	"Lipofibroblast"	"Cluster 31"
"STAT3"	"Lipofibroblast"	"Cluster 31"
"KLF4"	"Lipofibroblast"	"Cluster 31"
"UGP2"	"Lipofibroblast"	"Cluster 31"
"CDC42SE1"	"Lipofibroblast"	"Cluster 31"
"ESYT2"	"Lipofibroblast"	"Cluster 31"
"RSL1D1"	"Lipofibroblast"	"Cluster 31"
"LDLR"	"Lipofibroblast"	"Cluster 31"
"RPS10"	"Lipofibroblast"	"Cluster 31"
"CLEC11A"	"Lipofibroblast"	"Cluster 31"
"TMEM70"	"Lipofibroblast"	"Cluster 31"
"MMP2"	"Lipofibroblast"	"Cluster 31"
"IFI16"	"Lipofibroblast"	"Cluster 31"
"TCEB1"	"Lipofibroblast"	"Cluster 31"
"LDHA"	"Lipofibroblast"	"Cluster 31"
"ERRFI1"	"Lipofibroblast"	"Cluster 31"
"RPL36A"	"Lipofibroblast"	"Cluster 31"
"NR4A3"	"Lipofibroblast"	"Cluster 31"
"SYAP1"	"Lipofibroblast"	"Cluster 31"
"EGLN1"	"Lipofibroblast"	"Cluster 31"
"C1QTNF1"	"Lipofibroblast"	"Cluster 31"
"PTN"	"Pericyte"	"Cluster 32"
"HIGD1B"	"Pericyte"	"Cluster 32"
"NDUFA4L2"	"Pericyte"	"Cluster 32"
"PDGFRB"	"Pericyte"	"Cluster 32"
"COX4I2"	"Pericyte"	"Cluster 32"
"COL4A1"	"Pericyte"	"Cluster 32"
"COL4A2"	"Pericyte"	"Cluster 32"
"FAM105A"	"Pericyte"	"Cluster 32"
"STOM"	"Pericyte"	"Cluster 32"
"PAG1"	"Pericyte"	"Cluster 32"
"FAM162B"	"Pericyte"	"Cluster 32"
"ITM2C"	"Pericyte"	"Cluster 32"
"GAS6"	"Pericyte"	"Cluster 32"
"CADM1"	"Pericyte"	"Cluster 32"
"LHFP"	"Pericyte"	"Cluster 32"
"LAMC3"	"Pericyte"	"Cluster 32"
"KCNK3"	"Pericyte"	"Cluster 32"
"NDRG1"	"Pericyte"	"Cluster 32"
"CHN1"	"Pericyte"	"Cluster 32"
"TMEM204"	"Pericyte"	"Cluster 32"
"TESC"	"Pericyte"	"Cluster 32"
"KCNK17"	"Pericyte"	"Cluster 32"
"IGFBP2"	"Pericyte"	"Cluster 32"
"DUSP4"	"Pericyte"	"Cluster 32"
"RCN1"	"Pericyte"	"Cluster 32"
"TXNIP"	"Pericyte"	"Cluster 32"
"EGFL6"	"Pericyte"	"Cluster 32"
"UXS1"	"Pericyte"	"Cluster 32"
"AGTR1"	"Pericyte"	"Cluster 32"
"APOE"	"Pericyte"	"Cluster 32"
"GJA4"	"Pericyte"	"Cluster 32"
"GPX3"	"Pericyte"	"Cluster 32"
"MEST"	"Pericyte"	"Cluster 32"
"CPM"	"Pericyte"	"Cluster 32"
"CALD1"	"Pericyte"	"Cluster 32"
"P2RY14"	"Pericyte"	"Cluster 32"
"LPL"	"Pericyte"	"Cluster 32"
"TACC1"	"Pericyte"	"Cluster 32"
"RGN"	"Pericyte"	"Cluster 32"
"LAMB1"	"Pericyte"	"Cluster 32"
"IMPA2"	"Pericyte"	"Cluster 32"
"LOC441204"	"Pericyte"	"Cluster 32"
"RFTN1"	"Pericyte"	"Cluster 32"
"WLS"	"Pericyte"	"Cluster 32"
"BGN"	"Pericyte"	"Cluster 32"
"CYGB"	"Pericyte"	"Cluster 32"
"CEBPD"	"Pericyte"	"Cluster 32"
"DPYSL2"	"Pericyte"	"Cluster 32"
"PTEN"	"Pericyte"	"Cluster 32"
"TBX5"	"Pericyte"	"Cluster 32"
"NID1"	"Pericyte"	"Cluster 32"
"BBX"	"Pericyte"	"Cluster 32"
"PERP"	"Pericyte"	"Cluster 32"
"FOXF1"	"Pericyte"	"Cluster 32"
"EZR"	"Pericyte"	"Cluster 32"
"MATN3"	"Pericyte"	"Cluster 32"
"ADGRG6"	"Pericyte"	"Cluster 32"
"TJP1"	"Pericyte"	"Cluster 32"
"VSNL1"	"Pericyte"	"Cluster 32"
"NOTCH3"	"Pericyte"	"Cluster 32"
"BTG1"	"Pericyte"	"Cluster 32"
"F2R"	"Pericyte"	"Cluster 32"
"SYNM"	"Pericyte"	"Cluster 32"
"ID3"	"Pericyte"	"Cluster 32"
"SGCE"	"Pericyte"	"Cluster 32"
"B2M"	"Pericyte"	"Cluster 32"
"EFEMP1"	"Pericyte"	"Cluster 32"
"CHST2"	"Pericyte"	"Cluster 32"
"FARP1"	"Pericyte"	"Cluster 32"
"GPC4"	"Pericyte"	"Cluster 32"
"ADGRF5"	"Pericyte"	"Cluster 32"
"RPS6KA2"	"Pericyte"	"Cluster 32"
"RHOBTB3"	"Pericyte"	"Cluster 32"
"TMEM173"	"Pericyte"	"Cluster 32"
"ITGA1"	"Pericyte"	"Cluster 32"
"MYO1B"	"Pericyte"	"Cluster 32"
"JAK1"	"Pericyte"	"Cluster 32"
"MAP1LC3A"	"Pericyte"	"Cluster 32"
"LRCOL1"	"Pericyte"	"Cluster 32"
"NCK2"	"Pericyte"	"Cluster 32"
"PHLDA1"	"Pericyte"	"Cluster 32"
"PON2"	"Pericyte"	"Cluster 32"
"HSPA2"	"Pericyte"	"Cluster 32"
"LGALS3BP"	"Pericyte"	"Cluster 32"
"EHD2"	"Pericyte"	"Cluster 32"
"FAM46A"	"Pericyte"	"Cluster 32"
"PLCB1"	"Pericyte"	"Cluster 32"
"HES1"	"Pericyte"	"Cluster 32"
"CDC42EP2"	"Pericyte"	"Cluster 32"
"FKBP5"	"Pericyte"	"Cluster 32"
"HES4"	"Pericyte"	"Cluster 32"
"TSC22D4"	"Pericyte"	"Cluster 32"
"PLXDC1"	"Pericyte"	"Cluster 32"
"PLOD1"	"Pericyte"	"Cluster 32"
"BSG"	"Pericyte"	"Cluster 32"
"SDC2"	"Pericyte"	"Cluster 32"
"SYPL1"	"Pericyte"	"Cluster 32"
"ECE1"	"Pericyte"	"Cluster 32"
"EPS8"	"Pericyte"	"Cluster 32"
"MYO10"	"Pericyte"	"Cluster 32"
"CDH19"	"Pericyte"	"Cluster 32"
"HLA-C"	"Pericyte"	"Cluster 32"
"DGKG"	"Pericyte"	"Cluster 32"
"GUCY1B3"	"Pericyte"	"Cluster 32"
"CCDC102B"	"Pericyte"	"Cluster 32"
"CCDC68"	"Pericyte"	"Cluster 32"
"CSPG4"	"Pericyte"	"Cluster 32"
"RGS5"	"Pericyte"	"Cluster 32"
"ZBTB38"	"Pericyte"	"Cluster 32"
"ADCY3"	"Pericyte"	"Cluster 32"
"FERMT2"	"Pericyte"	"Cluster 32"
"SEMA6D"	"Pericyte"	"Cluster 32"
"GMFG"	"Pericyte"	"Cluster 32"
"RHOB"	"Pericyte"	"Cluster 32"
"TMEM74B"	"Pericyte"	"Cluster 32"
"NR3C1"	"Pericyte"	"Cluster 32"
"TBX3"	"Pericyte"	"Cluster 32"
"GNG11"	"Pericyte"	"Cluster 32"
"CD4"	"Pericyte"	"Cluster 32"
"BCAR1"	"Pericyte"	"Cluster 32"
"PDE8B"	"Pericyte"	"Cluster 32"
"ADAMTSL3"	"Pericyte"	"Cluster 32"
"CFDP1"	"Pericyte"	"Cluster 32"
"EBF1"	"Pericyte"	"Cluster 32"
"ZBTB20"	"Pericyte"	"Cluster 32"
"LURAP1L"	"Pericyte"	"Cluster 32"
"KLHL23"	"Pericyte"	"Cluster 32"
"APOLD1"	"Pericyte"	"Cluster 32"
"EFHD2"	"Pericyte"	"Cluster 32"
"ARHGAP18"	"Pericyte"	"Cluster 32"
"CLMN"	"Pericyte"	"Cluster 32"
"VAMP5"	"Pericyte"	"Cluster 32"
"TNFRSF21"	"Pericyte"	"Cluster 32"
"FAM212B"	"Pericyte"	"Cluster 32"
"SORT1"	"Pericyte"	"Cluster 32"
"KCNJ8"	"Pericyte"	"Cluster 32"
"GABRB2"	"Pericyte"	"Cluster 32"
"GJC1"	"Pericyte"	"Cluster 32"
"FAM13C"	"Pericyte"	"Cluster 32"
"WASF2"	"Pericyte"	"Cluster 32"
"HLA-B"	"Pericyte"	"Cluster 32"
"TCF4"	"Pericyte"	"Cluster 32"
"TRPV2"	"Pericyte"	"Cluster 32"
"EVA1C"	"Pericyte"	"Cluster 32"
"AFAP1L2"	"Pericyte"	"Cluster 32"
"ARHGEF17"	"Pericyte"	"Cluster 32"
"ANKRD44"	"Pericyte"	"Cluster 32"
"CHD9"	"Pericyte"	"Cluster 32"
"MYLIP"	"Pericyte"	"Cluster 32"
"ARHGDIB"	"Pericyte"	"Cluster 32"
"LGI4"	"Pericyte"	"Cluster 32"
"RBPMS"	"Pericyte"	"Cluster 32"
"TRPC6"	"Pericyte"	"Cluster 32"
"SLC44A2"	"Pericyte"	"Cluster 32"
"NR2F2"	"Pericyte"	"Cluster 32"
"GRAMD3"	"Pericyte"	"Cluster 32"
"ARHGAP29"	"Pericyte"	"Cluster 32"
"ADGRD1"	"Pericyte"	"Cluster 32"
"WFDC1"	"Pericyte"	"Cluster 32"
"SYDE1"	"Pericyte"	"Cluster 32"
"RNF115"	"Pericyte"	"Cluster 32"
"NES"	"Pericyte"	"Cluster 32"
"ARHGAP10"	"Pericyte"	"Cluster 32"
"TRIB2"	"Pericyte"	"Cluster 32"
"SASH1"	"Pericyte"	"Cluster 32"
"SLC12A2"	"Pericyte"	"Cluster 32"
"SGIP1"	"Pericyte"	"Cluster 32"
"TNIP2"	"Pericyte"	"Cluster 32"
"NOTCH2NL"	"Pericyte"	"Cluster 32"
"ITIH5"	"Pericyte"	"Cluster 32"
"JADE1"	"Pericyte"	"Cluster 32"
"NR2F1"	"Pericyte"	"Cluster 32"
"PCDH18"	"Pericyte"	"Cluster 32"
"COL5A3"	"Pericyte"	"Cluster 32"
"DOK6"	"Pericyte"	"Cluster 32"
"ARHGAP42"	"Pericyte"	"Cluster 32"
"FGD4"	"Pericyte"	"Cluster 32"
"PTK2"	"Pericyte"	"Cluster 32"
"SH3KBP1"	"Pericyte"	"Cluster 32"
"ECM1"	"Pericyte"	"Cluster 32"
"COPG2IT1"	"Pericyte"	"Cluster 32"
"NCALD"	"Pericyte"	"Cluster 32"
"GCLM"	"Pericyte"	"Cluster 32"
"CDH6"	"Pericyte"	"Cluster 32"
"SCGB3A1"	"Pericyte"	"Cluster 32"
"ENG"	"Pericyte"	"Cluster 32"
"SEPT4"	"Pericyte"	"Cluster 32"
"AQP1"	"Pericyte"	"Cluster 32"
"PREX2"	"Pericyte"	"Cluster 32"
"PRKAR2B"	"Pericyte"	"Cluster 32"
"VAMP8"	"Pericyte"	"Cluster 32"
"MDK"	"Pericyte"	"Cluster 32"
"SYNE2"	"Pericyte"	"Cluster 32"
"MT1E"	"Pericyte"	"Cluster 32"
"HEYL"	"Pericyte"	"Cluster 32"
"SCGB1A1"	"Pericyte"	"Cluster 32"
"ISG15"	"Pericyte"	"Cluster 32"
"ZBTB16"	"Pericyte"	"Cluster 32"
"CBFA2T3"	"Pericyte"	"Cluster 32"
"SPRY1"	"Pericyte"	"Cluster 32"
"FHL5"	"Pericyte"	"Cluster 32"
"RAPGEF5"	"Pericyte"	"Cluster 32"
"MASP1"	"Pericyte"	"Cluster 32"
"TBX2"	"Pericyte"	"Cluster 32"
"ESAM"	"Pericyte"	"Cluster 32"
"ID1"	"Pericyte"	"Cluster 32"
"BMPER"	"Pericyte"	"Cluster 32"
"PTP4A3"	"Pericyte"	"Cluster 32"
"KCNK6"	"Pericyte"	"Cluster 32"
"SPON2"	"Pericyte"	"Cluster 32"
"RASD1"	"Pericyte"	"Cluster 32"
"CALB2"	"Mesothelial"	"Cluster 33"
"KRT8"	"Mesothelial"	"Cluster 33"
"CFB"	"Mesothelial"	"Cluster 33"
"CPA4"	"Mesothelial"	"Cluster 33"
"HP"	"Mesothelial"	"Cluster 33"
"KRT19"	"Mesothelial"	"Cluster 33"
"RPL28"	"Mesothelial"	"Cluster 33"
"ITLN1"	"Mesothelial"	"Cluster 33"
"KLK11"	"Mesothelial"	"Cluster 33"
"MSLN"	"Mesothelial"	"Cluster 33"
"EMB"	"Mesothelial"	"Cluster 33"
"UPK3B"	"Mesothelial"	"Cluster 33"
"TFPI2"	"Mesothelial"	"Cluster 33"
"CXADR"	"Mesothelial"	"Cluster 33"
"RPL39"	"Mesothelial"	"Cluster 33"
"OCIAD2"	"Mesothelial"	"Cluster 33"
"CLDN1"	"Mesothelial"	"Cluster 33"
"PDPN"	"Mesothelial"	"Cluster 33"
"MIF"	"Mesothelial"	"Cluster 33"
"C19orf33"	"Mesothelial"	"Cluster 33"
"CXCL6"	"Mesothelial"	"Cluster 33"
"RPS19"	"Mesothelial"	"Cluster 33"
"REC8"	"Mesothelial"	"Cluster 33"
"AADAC"	"Mesothelial"	"Cluster 33"
"ALDH1A3"	"Mesothelial"	"Cluster 33"
"PLA2G2A"	"Mesothelial"	"Cluster 33"
"WT1"	"Mesothelial"	"Cluster 33"
"RPS12"	"Mesothelial"	"Cluster 33"
"DCBLD2"	"Mesothelial"	"Cluster 33"
"TIMP1"	"Mesothelial"	"Cluster 33"
"KRT18"	"Mesothelial"	"Cluster 33"
"LGALS2"	"Mesothelial"	"Cluster 33"
"HSD17B6"	"Mesothelial"	"Cluster 33"
"RPL36"	"Mesothelial"	"Cluster 33"
"RDH10"	"Mesothelial"	"Cluster 33"
"SLC39A8"	"Mesothelial"	"Cluster 33"
"SLC16A1"	"Mesothelial"	"Cluster 33"
"PRG4"	"Mesothelial"	"Cluster 33"
"SLC12A8"	"Mesothelial"	"Cluster 33"
"SMOX"	"Mesothelial"	"Cluster 33"
"DMKN"	"Mesothelial"	"Cluster 33"
"VCAM1"	"Mesothelial"	"Cluster 33"
"RGS4"	"Mesothelial"	"Cluster 33"
"TFRC"	"Mesothelial"	"Cluster 33"
"CFI"	"Mesothelial"	"Cluster 33"
"IL18"	"Mesothelial"	"Cluster 33"
"SULF1"	"Mesothelial"	"Cluster 33"
"ABRACL"	"Mesothelial"	"Cluster 33"
"SULF2"	"Mesothelial"	"Cluster 33"
"GJA1"	"Mesothelial"	"Cluster 33"
"S100A10"	"Mesothelial"	"Cluster 33"
"HAS1"	"Mesothelial"	"Cluster 33"
"RPL37"	"Mesothelial"	"Cluster 33"
"WFDC2"	"Mesothelial"	"Cluster 33"
"CPXM1"	"Mesothelial"	"Cluster 33"
"TSTD1"	"Mesothelial"	"Cluster 33"
"MFSD2A"	"Mesothelial"	"Cluster 33"
"DKK1"	"Mesothelial"	"Cluster 33"
"C3"	"Mesothelial"	"Cluster 33"
"SGK1"	"Mesothelial"	"Cluster 33"
"CD200"	"Mesothelial"	"Cluster 33"
"NSG1"	"Mesothelial"	"Cluster 33"
"ACSL4"	"Mesothelial"	"Cluster 33"
"ST3GAL5"	"Mesothelial"	"Cluster 33"
"NQO1"	"Mesothelial"	"Cluster 33"
"LINC01279"	"Mesothelial"	"Cluster 33"
"SLC20A1"	"Mesothelial"	"Cluster 33"
"IFI27"	"Mesothelial"	"Cluster 33"
"RPS18"	"Mesothelial"	"Cluster 33"
