"cell_genes"	"cell_type"	"k"
"C9orf171"	"Ciliated"	"Cluster 2"
"DTHD1"	"Ciliated"	"Cluster 2"
"C9orf117"	"Ciliated"	"Cluster 2"
"FANK1"	"Ciliated"	"Cluster 2"
"IGFBP7"	"Ciliated"	"Cluster 2"
"WRB"	"Ciliated"	"Cluster 2"
"LRRC10B"	"Ciliated"	"Cluster 2"
"TCTEX1D1"	"Ciliated"	"Cluster 2"
"P4HTM"	"Ciliated"	"Cluster 2"
"LRRC6"	"Ciliated"	"Cluster 2"
"COPRS"	"Ciliated"	"Cluster 2"
"FHAD1"	"Ciliated"	"Cluster 2"
"RUVBL2"	"Ciliated"	"Cluster 2"
"CCDC114"	"Ciliated"	"Cluster 2"
"DNAI1"	"Ciliated"	"Cluster 2"
"RABL2B"	"Ciliated"	"Cluster 2"
"LOC100506844"	"Ciliated"	"Cluster 2"
"C7orf57"	"Ciliated"	"Cluster 2"
"TTC29"	"Ciliated"	"Cluster 2"
"PIH1D2"	"Ciliated"	"Cluster 2"
"CFAP221"	"Ciliated"	"Cluster 2"
"C11orf16"	"Ciliated"	"Cluster 2"
"ARMC4"	"Ciliated"	"Cluster 2"
"C4orf22"	"Ciliated"	"Cluster 2"
"TCTEX1D4"	"Ciliated"	"Cluster 2"
"RFX3"	"Ciliated"	"Cluster 2"
"WDR63"	"Ciliated"	"Cluster 2"
"CALML4"	"Ciliated"	"Cluster 2"
"C16orf93"	"Ciliated"	"Cluster 2"
"RUVBL1"	"Ciliated"	"Cluster 2"
"AKAP9"	"Ciliated"	"Cluster 2"
"WDR66"	"Ciliated"	"Cluster 2"
"CFAP57"	"Ciliated"	"Cluster 2"
"CRIP1"	"Ciliated"	"Cluster 2"
"C10orf95"	"Ciliated"	"Cluster 2"
"CENPM"	"Ciliated"	"Cluster 2"
"PIH1D3"	"Ciliated"	"Cluster 2"
"LRRC71"	"Ciliated"	"Cluster 2"
"CATIP"	"Ciliated"	"Cluster 2"
"DNAH9"	"Ciliated"	"Cluster 2"
"CCDC108"	"Ciliated"	"Cluster 2"
"C17orf97"	"Ciliated"	"Cluster 2"
"SPATA17"	"Ciliated"	"Cluster 2"
"TMEM107"	"Ciliated"	"Cluster 2"
"DNAJB13"	"Ciliated"	"Cluster 2"
"SLC22A4"	"Ciliated"	"Cluster 2"
"SARAF"	"Ciliated"	"Cluster 2"
"DNAL1"	"Ciliated"	"Cluster 2"
"AK7"	"Ciliated"	"Cluster 2"
"IGFBP5"	"Ciliated"	"Cluster 2"
"CH17-340M24.3"	"Ciliated"	"Cluster 2"
"CLUAP1"	"Ciliated"	"Cluster 2"
"DNAH2"	"Ciliated"	"Cluster 2"
"TRAF3IP1"	"Ciliated"	"Cluster 2"
"CSPP1"	"Ciliated"	"Cluster 2"
"LRRC34"	"Ciliated"	"Cluster 2"
"ENDOG"	"Ciliated"	"Cluster 2"
"LKAAEAR1"	"Ciliated"	"Cluster 2"
"IQCD"	"Ciliated"	"Cluster 2"
"CFAP46"	"Ciliated"	"Cluster 2"
"TCTN1"	"Ciliated"	"Cluster 2"
"IFT43"	"Ciliated"	"Cluster 2"
"NEK11"	"Ciliated"	"Cluster 2"
"HMGN3"	"Ciliated"	"Cluster 2"
"CCDC37"	"Ciliated"	"Cluster 2"
"GPX4"	"Ciliated"	"Cluster 2"
"ODF2L"	"Ciliated"	"Cluster 2"
"ARHGAP18"	"Ciliated"	"Cluster 2"
"MAP1A"	"Ciliated"	"Cluster 2"
"EFHB"	"Ciliated"	"Cluster 2"
"KIF21A"	"Ciliated"	"Cluster 2"
"CDHR4"	"Ciliated"	"Cluster 2"
"CFAP70"	"Ciliated"	"Cluster 2"
"DNAJA4"	"Ciliated"	"Cluster 2"
"METRN"	"Ciliated"	"Cluster 2"
"MDH1B"	"Ciliated"	"Cluster 2"
"HIPK1"	"Ciliated"	"Cluster 2"
"C1orf158"	"Ciliated"	"Cluster 2"
"C11orf74"	"Ciliated"	"Cluster 2"
"AK9"	"Ciliated"	"Cluster 2"
"CASC1"	"Ciliated"	"Cluster 2"
"CC2D2A"	"Ciliated"	"Cluster 2"
"RAB36"	"Ciliated"	"Cluster 2"
"PCM1"	"Ciliated"	"Cluster 2"
"HSPH1"	"Ciliated"	"Cluster 2"
"ALDH3B1"	"Ciliated"	"Cluster 2"
"RIBC1"	"Ciliated"	"Cluster 2"
"C1orf189"	"Ciliated"	"Cluster 2"
"IFT57"	"Ciliated"	"Cluster 2"
"LXN"	"Ciliated"	"Cluster 2"
"CYSTM1"	"Ciliated"	"Cluster 2"
"DENND6B"	"Ciliated"	"Cluster 2"
"SPATA33"	"Ciliated"	"Cluster 2"
"GSTA1"	"Ciliated"	"Cluster 2"
"C1orf87"	"Ciliated"	"Cluster 2"
"FBXO15"	"Ciliated"	"Cluster 2"
"NPHP1"	"Ciliated"	"Cluster 2"
"HAGHL"	"Ciliated"	"Cluster 2"
"CFAP44"	"Ciliated"	"Cluster 2"
"LOC388780"	"Ciliated"	"Cluster 2"
"H2AFJ"	"Ciliated"	"Cluster 2"
"DNAH10"	"Ciliated"	"Cluster 2"
"GRIN3B"	"Ciliated"	"Cluster 2"
"STOX1"	"Ciliated"	"Cluster 2"
"IFT88"	"Ciliated"	"Cluster 2"
"TMEM232"	"Ciliated"	"Cluster 2"
"CFAP54"	"Ciliated"	"Cluster 2"
"SPAG1"	"Ciliated"	"Cluster 2"
"NELL2"	"Ciliated"	"Cluster 2"
"CLDN3"	"Ciliated"	"Cluster 2"
"FAM179A"	"Ciliated"	"Cluster 2"
"MAP9"	"Ciliated"	"Cluster 2"
"SOD1"	"Ciliated"	"Cluster 2"
"ADGB"	"Ciliated"	"Cluster 2"
"KCNRG"	"Ciliated"	"Cluster 2"
"MAP3K19"	"Ciliated"	"Cluster 2"
"DPY30"	"Ciliated"	"Cluster 2"
"METTL7A"	"Ciliated"	"Cluster 2"
"CCDC96"	"Ciliated"	"Cluster 2"
"GCC2"	"Ciliated"	"Cluster 2"
"DEGS2"	"Ciliated"	"Cluster 2"
"HSPBP1"	"Ciliated"	"Cluster 2"
"LOC728392"	"Ciliated"	"Cluster 2"
"C2orf73"	"Ciliated"	"Cluster 2"
"PPP1R42"	"Ciliated"	"Cluster 2"
"DLEC1"	"Ciliated"	"Cluster 2"
"LOC101927416"	"Ciliated"	"Cluster 2"
"DALRD3"	"Ciliated"	"Cluster 2"
"RPA3"	"Ciliated"	"Cluster 2"
"PDLIM4"	"Ciliated"	"Cluster 2"
"TMEM67"	"Ciliated"	"Cluster 2"
"NHLRC4"	"Ciliated"	"Cluster 2"
"LRWD1"	"Ciliated"	"Cluster 2"
"IFT172"	"Ciliated"	"Cluster 2"
"CNTRL"	"Ciliated"	"Cluster 2"
"LRRC73"	"Ciliated"	"Cluster 2"
"FTO"	"Ciliated"	"Cluster 2"
"TUSC3"	"Ciliated"	"Cluster 2"
"FTO-IT1"	"Ciliated"	"Cluster 2"
"C9orf9"	"Ciliated"	"Cluster 2"
"FSD1L"	"Ciliated"	"Cluster 2"
"PTGES3"	"Ciliated"	"Cluster 2"
"RABL2A"	"Ciliated"	"Cluster 2"
"KLHDC9"	"Ciliated"	"Cluster 2"
"TSTD1"	"Ciliated"	"Cluster 2"
"C4orf47"	"Ciliated"	"Cluster 2"
"PCSK1N"	"Ciliated"	"Cluster 2"
"ECT2L"	"Ciliated"	"Cluster 2"
"S100A11"	"Ciliated"	"Cluster 2"
"KIAA1407"	"Ciliated"	"Cluster 2"
"PLAC8"	"Ciliated"	"Cluster 2"
"EZR"	"Ciliated"	"Cluster 2"
"RP1"	"Ciliated"	"Cluster 2"
"ERGIC3"	"Ciliated"	"Cluster 2"
"TSGA10"	"Ciliated"	"Cluster 2"
"SPATA6"	"Ciliated"	"Cluster 2"
"LOC102724094"	"Ciliated"	"Cluster 2"
"CFAP69"	"Ciliated"	"Cluster 2"
"CFAP36"	"Ciliated"	"Cluster 2"
"KIF19"	"Ciliated"	"Cluster 2"
"CCDC151"	"Ciliated"	"Cluster 2"
"TNFRSF19"	"Ciliated"	"Cluster 2"
"ACYP1"	"Ciliated"	"Cluster 2"
"PGM2L1"	"Ciliated"	"Cluster 2"
