""	"Subtype1-Subtype2"	"Subtype1-Subtype3"	"Subtype1-Subtype4"	"Subtype1-Subtype5"	"Subtype1-Subtype6"	"Subtype2-Subtype3"	"Subtype2-Subtype4"	"Subtype2-Subtype5"	"Subtype2-Subtype6"	"Subtype3-Subtype4"	"Subtype3-Subtype5"	"Subtype3-Subtype6"	"Subtype4-Subtype5"	"Subtype4-Subtype6"	"Subtype5-Subtype6"
"ABAT"	1.02264084184474	0.488431664436624	0.585198687752133	0.278830543493038	0.677528224071505	-0.534209177408111	-0.437442154092603	-0.743810298351697	-0.34511261777323	0.0967670233155082	-0.209601120943586	0.189096559634881	-0.306368144259094	0.0923295363193726	0.398697680578467
"ABCA1"	-0.405404837889412	-0.305500039408965	-0.100297724084638	0.0696258674803105	-0.2518061307895	0.0999047984804469	0.305107113804774	0.475030705369723	0.153598707099912	0.205202315324327	0.375125906889276	0.0536939086194655	0.169923591564948	-0.151508406704862	-0.32143199826981
"ABCA10"	-0.384532224980167	0.249028676975971	0.669523424145531	-0.0351898641253988	0.871022341783492	0.633560901956138	1.0540556491257	0.349342360854768	1.25555456676366	0.420494747169561	-0.284218541101369	0.621993664807522	-0.70471328827093	0.201498917637961	0.906212205908891
"ABCA12"	-0.428913382139349	-0.097694879862777	-0.0195159043961027	0.0406755850356851	-0.513239795336629	0.331218502276572	0.409397477743246	0.469588967175034	-0.0843264131972806	0.0781789754666744	0.138370464898462	-0.415544915473852	0.0601914894317878	-0.493723890940527	-0.553915380372315
"ABCA13"	-0.0817696605879988	-0.0193231865757574	-0.304726685105718	-0.128758060742627	-0.860442993440492	0.0624464740122415	-0.222957024517719	-0.0469884001546284	-0.778673332852493	-0.28540349852996	-0.10943487416687	-0.841119806864735	0.17596862436309	-0.555716308334774	-0.731684932697865
"ABCA2"	0.292726029487637	0.147892029367707	0.301225784345621	0.361531015198501	0.250454103498181	-0.14483400011993	0.00849975485798443	0.0688049857108642	-0.0422719259894561	0.153333754977915	0.213638985830794	0.102562074130474	0.0603052308528798	-0.0507716808474406	-0.11107691170032
"ABCA3"	0.606121135235965	0.370096448598289	0.708071654090954	0.628843699300764	0.932178989734743	-0.236024686637675	0.101950518854989	0.022722564064799	0.326057854498778	0.337975205492664	0.258747250702474	0.562082541136453	-0.0792279547901902	0.224107335643789	0.303335290433979
"ABCA5"	0.608925261938224	0.238908810686152	0.0484982961956598	-0.143351751426086	-0.0655093557775515	-0.370016451252072	-0.560426965742564	-0.75227701336431	-0.674434617715776	-0.190410514490492	-0.382260562112238	-0.304418166463703	-0.191850047621746	-0.114007651973211	0.0778423956485343
"ABCA6"	0.644602690727152	0.124824631478048	0.858424608072481	0.741635682706351	0.69674841207232	-0.519778059249105	0.213821917345329	0.0970329919791991	0.0521457213451673	0.733599976594434	0.616811051228304	0.571923780594272	-0.11678892536613	-0.161676196000162	-0.0448872706340319
"ABCA7"	0.413722159338731	0.0556064623230569	0.0836615590573322	0.372544933723082	0.222908310009199	-0.358115697015674	-0.330060600281399	-0.0411772256156488	-0.190813849329531	0.0280550967342753	0.316938471400025	0.167301847686142	0.28888337466575	0.139246750951867	-0.149636623713883
"ABCA8"	1.61457427642371	0.626503105011073	1.49831013741016	1.30204264255201	1.45025545574942	-0.988071171412636	-0.116264139013545	-0.312531633871701	-0.164318820674286	0.871807032399091	0.675539537540935	0.82375235073835	-0.196267494858156	-0.0480546816607408	0.148212813197415
"ABCA9"	0.719591652890402	0.457148657768293	0.880579043846132	0.623382363804398	0.593147996850004	-0.262442995122108	0.160987390955731	-0.0962092890860032	-0.126443656040397	0.423430386077839	0.166233706036105	0.135999339081711	-0.257196680041734	-0.287431046996128	-0.0302343669543939
"ABCB1"	0.215079423078572	-0.0421974358732777	0.398469496638196	0.470074958479008	0.25047901233873	-0.25727685895185	0.183390073559624	0.254995535400436	0.0353995892601586	0.440666932511474	0.512272394352286	0.292676448212008	0.0716054618408121	-0.147990484299465	-0.219595946140277
"ABCB10"	0.0937285413715294	0.0281377561166577	-0.0943249830887622	0.112144210266397	0.0388676859645414	-0.0655907852548717	-0.188053524460292	0.0184156688948671	-0.054860855406988	-0.12246273920542	0.0840064541497389	0.0107299298478837	0.206469193355159	0.133192669053304	-0.0732765243018552
"ABCB6"	0.46110509648895	0.297584917989626	-0.191545495420509	0.582309162792862	0.053270114912188	-0.163520178499324	-0.652650591909459	0.121204066303912	-0.407834981576762	-0.489130413410135	0.284724244803236	-0.244314803077438	0.773854658213371	0.244815610332697	-0.529039047880674
"ABCB7"	-0.00861230593132829	0.0721467835312767	-0.108630630520522	-0.102467926851016	0.132489332942301	0.080759089462605	-0.100018324589194	-0.0938556209196879	0.141101638873629	-0.180777414051799	-0.174614710382293	0.0603425494110244	0.00616270366950608	0.241119963462823	0.234957259793317
"ABCB8"	-0.0571774243061323	0.00609642994238174	-0.12463764382024	0.209124855923293	-0.00748159554006236	0.063273854248514	-0.0674602195141082	0.266302280229426	0.0496958287660699	-0.130734073762622	0.203028425980912	-0.0135780254824441	0.333762499743534	0.117156048280178	-0.216606451463356
"ABCB9"	-0.176806736712409	-0.0268646725650651	0.0143429004959682	-0.128822730814829	-0.0825548177720526	0.149942064147344	0.191149637208377	0.0479840058975798	0.094251918940356	0.0412075730610333	-0.101958058249764	-0.0556901452069875	-0.143165631310797	-0.0968977182680208	0.0462679130427763
"ABCC1"	0.106154412658676	-0.017806943254089	-0.105227044030968	0.283764336426262	-0.770440425704536	-0.123961355912765	-0.211381456689644	0.177609923767586	-0.876594838363212	-0.0874201007768794	0.301571279680351	-0.752633482450447	0.388991380457231	-0.665213381673567	-1.0542047621308
"ABCC10"	0.343458327997387	0.230395901336237	0.332923123271562	0.555540465612911	0.310189240423887	-0.11306242666115	-0.0105352047258255	0.212082137615524	-0.0332690875735002	0.102527221935325	0.325144564276674	0.0797933390876499	0.222617342341349	-0.0227338828476747	-0.245351225189024
"ABCC2"	-1.64794990515189	-0.131952973491785	-1.42997089335581	0.418894582400433	0.1682073198166	1.51599693166011	0.217979011796077	2.06684448755232	1.81615722496849	-1.29801791986403	0.550847555892218	0.300160293308384	1.84886547575625	1.59817821317241	-0.250687262583834
"ABCC3"	0.773271414636239	0.872662127493236	0.832924272393699	1.80793254094182	1.60216030764366	0.0993907128569964	0.0596528577574596	1.03466112630558	0.828888893007424	-0.0397378550995368	0.935270413448585	0.729498180150428	0.975008268548122	0.769236035249965	-0.205772233298157
"ABCC4"	0.480162911207342	0.214998076339278	-0.114546111434474	0.726497842463137	0.274611464226894	-0.265164834868065	-0.594709022641816	0.246334931255795	-0.205551446980449	-0.329544187773752	0.511499766123859	0.0596133878876159	0.841043953897611	0.389157575661368	-0.451886378236244
"ABCC5"	0.170368536159317	0.0254875982091201	-0.0849654683139492	-0.00956539131960698	-1.43470044321376	-0.144880937950197	-0.255334004473266	-0.179933927478924	-1.60506897937308	-0.110453066523069	-0.035052989528727	-1.46018804142288	0.0754000769943422	-1.34973497489981	-1.42513505189415
"ABCC6"	0.90787480764345	0.604952138918495	0.844422435485472	1.20052004840946	1.10792286438215	-0.302922668724956	-0.0634523721579784	0.292645240766012	0.200048056738702	0.239470296566977	0.595567909490968	0.502970725463658	0.35609761292399	0.263500428896681	-0.0925971840273098
"ABCC9"	0.397115565875363	-0.0314451334977054	0.505989153243289	0.447462336737341	0.484464332898706	-0.428560699373068	0.108873587367927	0.0503467708619787	0.087348767023344	0.537434286740995	0.478907470235047	0.515909466396412	-0.0585268165059481	-0.0215248203445828	0.0370019961613653
"ABCD1"	-0.232718881059938	-0.106386094889862	-0.0497528750624103	0.0770893169162065	0.158610293886269	0.126332786170076	0.182966005997527	0.309808197976144	0.391329174946207	0.0566332198274516	0.183475411806068	0.264996388776131	0.126842191978617	0.20836316894868	0.081520976970063
"ABCD2"	-0.416744153644519	-0.590497539727095	-0.0183626239311498	-0.256515308620058	-0.324417685790621	-0.173753386082576	0.398381529713369	0.160228845024461	0.092326467853898	0.572134915795945	0.333982231107036	0.266079853936474	-0.238152684688908	-0.306055061859471	-0.0679023771705627
"ABCD3"	0.367753108140138	0.329847417967274	0.0902349164337782	0.481838371209816	0.565257089197035	-0.0379056901728645	-0.27751819170636	0.114085263069678	0.197503981056897	-0.239612501533495	0.151990953242543	0.235409671229761	0.391603454776038	0.475022172763257	0.0834187179872188
"ABCD4"	0.176040154892852	0.104428530882913	0.329748903076963	0.418412984156279	0.416054969144856	-0.0716116240099388	0.153708748184111	0.242372829263427	0.240014814252003	0.22532037219405	0.313984453273366	0.311626438261942	0.0886640810793161	0.0863060660678925	-0.00235801501142358
"ABCE1"	-0.400078433476415	-0.113796208850055	-0.179266539328289	-0.119713845838487	-0.209282155575887	0.28628222462636	0.220811894148126	0.280364587637928	0.190796277900529	-0.0654703304782334	-0.00591763698843153	-0.0954859467258313	0.0595526934898018	-0.0300156162475979	-0.0895683097373998
"ABCF1"	-0.081473371363586	0.00802924246787949	-0.296349142527112	-0.199570633723792	-0.149457314769743	0.0895026138314655	-0.214875771163526	-0.118097262360206	-0.0679839434061566	-0.304378384994992	-0.207599876191671	-0.157486557237622	0.0967785088033202	0.146891827757369	0.0501133189540493
"ABCF2"	-0.508382259380145	-0.110075846932739	-0.267187374686691	-0.0708141031888309	-0.440114184169109	0.398306412447406	0.241194884693454	0.437568156191314	0.0682680752110361	-0.157111527753952	0.0392617437439077	-0.33003833723637	0.19637327149786	-0.172926809482418	-0.369300080980278
"ABCF3"	-0.313730057799267	-0.159684725939795	-0.340487009673237	-0.172820355146786	-0.762394519281917	0.154045331859472	-0.0267569518739693	0.140909702652481	-0.44866446148265	-0.180802283733442	-0.0131356292069909	-0.602709793342122	0.167666654526451	-0.421907509608681	-0.589574164135131
"ABCG1"	0.0433747348493558	-0.148755221552349	-0.0818994899094502	-0.0911799443647938	-0.182802566743354	-0.192129956401704	-0.125274224758806	-0.13455467921415	-0.22617730159271	0.0668557316428984	0.0575752771875548	-0.0340473451910057	-0.00928045445534361	-0.100903076833904	-0.0916226223785605
"ABCG2"	-0.0368123777755094	0.203596953294483	0.323926614443933	0.47469356896123	0.190590582684867	0.240409331069992	0.360738992219442	0.511505946736739	0.227402960460377	0.12032966114945	0.271096615666747	-0.0130063706096154	0.150766954517297	-0.133336031759066	-0.284102986276363
"ABHD10"	0.0179339090667599	0.0471030007984643	0.152875015467567	-0.00892535441291124	0.0607898091316963	0.0291690917317043	0.134941106400807	-0.0268592634796712	0.0428559000649363	0.105772014669103	-0.0560283552113755	0.013686808333232	-0.161800369880478	-0.0920852063358707	0.0697151635446075
"ABHD11"	-0.144347703548945	0.186802191331787	-0.0913780069760956	0.472143867824216	0.383521362910668	0.331149894880732	0.0529696965728498	0.616491571373162	0.527869066459614	-0.278180198307882	0.28534167649243	0.196719171578882	0.563521874800312	0.474899369886764	-0.0886225049135481
"ABHD12"	-0.0768308493073169	0.00444816251233508	-0.117144444909253	-0.198250245548733	0.240894385009945	0.081279011819652	-0.0403135956019364	-0.121419396241416	0.317725234317262	-0.121592607421588	-0.202698408061068	0.23644622249761	-0.0811058006394794	0.358038829919198	0.439144630558677
"ABHD13"	0.191969923333598	0.0222014949329039	0.0722766485924919	0.0630193238703762	0.189557678767783	-0.169768428400694	-0.119693274741106	-0.128950599463222	-0.00241224456581436	0.050075153659588	0.0408178289374723	0.167356183834879	-0.00925732472211575	0.117281030175291	0.126538354897407
"ABHD14A"	0.0374997814355123	-0.061117663659444	-0.280227375513294	-0.0112265130433828	0.1349658544478	-0.0986174450949563	-0.317727156948806	-0.0487262944788952	0.0974660730122878	-0.21910971185385	0.0498911506160612	0.196083518107244	0.269000862469911	0.415193229961094	0.146192367491183
"ABHD14B"	0.536562926802389	0.217988664621102	0.486013498444767	0.700703300497814	0.655383126742802	-0.318574262181287	-0.0505494283576219	0.164140373695425	0.118820199940414	0.268024833823665	0.482714635876712	0.4373944621217	0.214689802053047	0.169369628298035	-0.0453201737550115
"ABHD15"	0.101353684825808	-0.105154549188568	-0.260068130783946	0.0445936812480775	-0.0557247159563384	-0.206508234014376	-0.361421815609754	-0.0567600035777304	-0.157078400782146	-0.154913581595379	0.149748230436645	0.0494298332322293	0.304661812032024	0.204343414827608	-0.100318397204416
"ABHD16A"	0.159496054404048	0.0964609946116421	0.0444121023826185	0.121013137327931	0.332070221438625	-0.0630350597924057	-0.115083952021429	-0.0384829170761169	0.172574167034577	-0.0520488922290236	0.0245521427162888	0.235609226826982	0.0766010349453124	0.287658119056006	0.211057084110694
"ABHD17A"	0.13876102533561	0.0404523041173722	0.103270725083841	0.102682820302422	0.129482275078933	-0.0983087212182374	-0.0354903002517687	-0.0360782050331875	-0.0092787502566769	0.0628184209664688	0.0622305161850499	0.0890299709615605	-0.000587904781418836	0.0262115499950918	0.0267994547765106
"ABHD17B"	0.172702128923398	0.0880283968972437	-0.114072816502616	-0.0320383823818459	-0.0248589811919177	-0.0846737320261541	-0.286774945426014	-0.204740511305244	-0.197561110115315	-0.20210121339986	-0.12006677927909	-0.112887378089161	0.0820344341207704	0.0892138353106986	0.00717940118992814
"ABHD17C"	0.492135942170271	0.228868902544761	-0.0339855753994005	0.67154771865908	0.445372294452547	-0.26326703962551	-0.526121517569671	0.179411776488809	-0.0467636477177239	-0.262854477944161	0.442678816114319	0.216503391907786	0.705533294058481	0.479357869851947	-0.226175424206533
"ABHD18"	-0.122063354274426	0.00635765321635564	-0.247509851256924	-0.230273924204758	0.129730737607752	0.128421007490782	-0.125446496982497	-0.108210569930332	0.251794091882178	-0.253867504473279	-0.236631577421114	0.123373084391396	0.0172359270521658	0.377240588864676	0.36000466181251
"ABHD2"	0.479537825410682	0.141358053918009	-0.0385983735806856	0.450657142636043	0.339715274023956	-0.338179771492673	-0.518136198991367	-0.0288806827746387	-0.139822551386725	-0.179956427498694	0.309299088718034	0.198357220105947	0.489255516216728	0.378313647604642	-0.110941868612087
"ABHD3"	-0.0821171197260009	-0.0241755392245695	-0.185754305955768	-0.185574783813411	-0.231097212721387	0.0579415805014314	-0.103637186229767	-0.10345766408741	-0.148980092995386	-0.161578766731198	-0.161399244588841	-0.206921673496818	0.000179522142357225	-0.0453429067656192	-0.0455224289079764
