set01	set02	set03	set04	set05	set06	set07	set08	set09	set10	set11	set12	set13	set14	set15	set16	SetsWithPeps	MaxPeps	MinPeps
ACOT8	11	10	10	10	10	8	11	10	11	10	11	11	11	7	8	9	16	11	7
ACOT9	29	30	35	29	31	28	27	22	28	31	28	28	27	29	31	26	16	35	22
ACOX1	29	29	29	33	27	28	31	29	29	32	30	29	30	30	35	31	16	35	27
ACOX2	19	18	18	17	18	16	27	20	20	25	16	19	15	14	17	23	16	27	14
ACOX3	26	30	35	38	28	30	34	35	32	35	32	30	28	31	33	33	16	38	26
ACP1	11	12	13	14	11	11	11	9	11	11	10	11	11	13	10	9	16	14	9
ACP2	8	9	10	9	9	8	9	10	10	13	9	9	11	11	7	8	16	13	7
ACP5	7	9	9	9	10	9	8	9	9	9	8	8	7	9	9	8	16	10	7
ACP6	16	15	22	18	16	16	16	13	15	23	21	18	20	17	15	18	16	23	13
ACP7	NA	NA	NA	NA	2	1	NA	NA	NA	NA	NA	1	1	2	NA	NA	5	2	1
ACPP	6	7	3	8	6	4	7	9	8	5	5	10	8	9	10	9	16	10	3
ACSF2	24	28	32	27	26	34	31	31	28	26	28	25	28	24	26	30	16	34	24
ACSF3	20	18	22	20	17	22	21	19	19	21	18	19	19	24	22	26	16	26	17
ACSL1	38	44	45	41	39	41	40	40	40	42	39	39	40	39	37	44	16	45	37
ACSL3	33	35	38	37	32	33	32	32	30	34	34	33	30	34	32	38	16	38	30
ACSL4	33	38	35	31	35	33	33	34	38	34	32	34	28	32	33	41	16	41	28
ACSL5	24	32	34	31	32	32	31	26	37	28	31	30	29	27	28	31	16	37	24
ACSL6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0
ACSM3	13	14	11	16	14	17	17	8	22	15	13	19	15	13	18	18	16	22	8
ACSM4	1	1	1	1	2	1	1	1	1	1	2	1	NA	NA	1	NA	13	2	1
ACSM5	1	1	1	4	NA	2	1	2	1	1	1	1	NA	1	NA	4	13	4	1
ACSS1	26	29	28	27	29	30	25	29	29	29	25	25	27	25	24	25	16	30	24
ACSS2	23	24	20	24	24	22	27	20	22	22	20	26	26	24	23	24	16	27	20
ACSS3	24	23	15	21	24	22	21	22	23	19	20	21	18	20	17	19	16	24	15
ACTA1	3	2	1	1	3	2	3	2	4	2	1	2	2	1	1	3	16	4	1
ACTB	2	1	2	2	1	2	1	1	1	1	0	2	2	2	1	2	15	2	0
ACTBL2	11	10	12	13	10	9	7	9	11	11	8	10	12	6	10	10	16	13	6
ACTG1	2	2	2	2	2	2	3	2	2	2	2	2	2	2	1	1	16	3	1
ACTG2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	16	2	1
ACTL6A	24	25	25	26	25	25	24	23	23	24	25	24	25	24	23	21	16	26	21
ACTL6B	0	0	0	0	1	0	3	0	0	0	0	0	0	0	2	0	3	3	0
ACTL8	NA	NA	17	4	NA	2	1	1	13	1	2	3	11	1	6	15	13	17	1
ACTN1	60	61	75	75	62	62	62	64	61	65	67	62	65	66	66	69	16	75	60
ACTN2	13	9	9	14	25	11	18	14	24	10	13	17	7	15	7	15	16	25	7
ACTN3	2	1	1	1	1	1	1	1	3	1	1	1	1	1	1	3	16	3	1
ACTN4	59	62	73	77	64	64	61	67	62	69	66	62	66	67	63	60	16	77	59
ACTR10	15	14	16	16	17	15	15	13	19	16	15	15	16	17	15	16	16	19	13
ACTR1A	13	13	16	17	13	13	14	14	13	12	14	13	13	12	12	14	16	17	12
ACTR1B	11	9	13	11	10	10	11	11	11	12	11	11	12	11	11	11	16	13	9
ACTR2	29	30	37	36	33	33	28	29	32	30	33	33	31	34	34	32	16	37	28
ACTR3	24	26	32	33	26	28	27	29	26	29	27	27	25	28	26	29	16	33	24
ACTR3B	7	8	8	6	8	7	7	6	4	5	6	6	8	5	6	4	16	8	4
ACTR3C	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0
ACTR5	20	18	17	18	15	19	15	16	14	22	17	16	18	21	18	21	16	22	14
ACTR6	9	9	11	12	9	9	10	12	9	10	10	10	9	9	11	9	16	12	9
ACTR8	14	10	10	13	9	15	15	12	12	10	9	13	7	8	9	13	16	15	7
ACTRT3	1	NA	NA	1	NA	NA	NA	1	NA	NA	NA	1	1	1	NA	NA	6	1	1
ACVR1	3	3	3	2	3	2	2	3	5	5	1	3	3	4	3	6	16	6	1
ACVR1B	3	2	3	2	3	2	2	3	2	3	2	6	3	2	3	5	16	6	2
ACVR2A	NA	NA	NA	NA	NA	NA	NA	2	NA	1	NA	NA	NA	1	1	NA	4	2	1
ACVRL1	6	3	1	5	6	3	5	3	4	3	4	2	2	1	2	4	16	6	1
ACY3	2	5	3	2	3	2	1	2	NA	1	1	4	1	1	4	2	15	5	1
ACYP1	4	5	5	5	5	5	5	5	4	4	5	4	5	5	5	3	16	5	3
ACYP2	6	8	9	8	7	8	6	4	6	7	6	7	7	8	8	7	16	9	4
ADA	27	24	26	28	24	26	23	28	27	27	29	25	27	28	28	29	16	29	23
ADA2	16	15	18	14	16	17	15	17	19	16	20	15	13	17	16	22	16	22	13
ADAL	10	7	7	8	7	7	9	8	8	10	7	9	8	10	10	9	16	10	7
ADAM10	37	33	37	33	34	32	30	33	35	40	40	34	33	39	35	35	16	40	30
ADAM12	5	3	4	2	2	4	3	5	3	3	4	3	4	3	4	7	16	7	2
ADAM15	13	16	13	16	13	15	14	16	16	15	19	18	18	14	13	18	16	19	13
