set01	set02	set03	set04	set05	set06	set07	set08	set09	set10	set11	set12	set13	set14	set15	set16	SetsWithPeps	MaxPeps	MinPeps
IL17RA	9	7	11	11	9	8	7	7	9	11	11	8	10	9	9	8	16	11	7
IL17RB	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	1	1	1
IL17RC	1	1	NA	NA	2	1	NA	1	2	NA	NA	NA	1	2	2	2	10	2	1
IL17RD	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1
IL17REL	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	2	1	1
IL18	16	16	16	16	14	16	14	15	16	14	17	15	15	11	14	16	16	17	11
IL18R1	3	4	4	2	1	3	2	4	3	2	4	6	4	3	5	5	16	6	1
IL1B	NA	NA	1	NA	1	NA	NA	1	1	NA	1	1	NA	1	2	1	9	2	1
IL1R1	8	7	5	7	7	8	5	7	5	7	8	10	5	4	4	5	16	10	4
IL1R2	8	3	5	2	1	1	5	4	2	4	4	6	2	1	4	3	16	8	1
IL1RAP	25	23	19	20	18	22	16	19	19	18	20	23	24	20	20	24	16	25	16
IL1RL1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1
IL1RN	6	5	6	7	4	5	5	6	5	5	5	5	5	8	6	8	16	8	4
IL20RB	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	1	1	1
IL21	NA	NA	1	1	NA	NA	NA	NA	1	1	1	1	NA	2	NA	1	8	2	1
IL23R	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1
IL27RA	6	3	4	5	3	4	3	4	7	3	4	5	3	5	7	3	16	7	3
IL2RA	1	NA	1	NA	1	1	NA	1	NA	1	NA	1	2	2	2	1	11	2	1
IL2RB	NA	NA	NA	NA	NA	1	NA	NA	1	NA	NA	1	NA	NA	NA	NA	3	1	1
IL2RG	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0
IL32	5	3	4	2	4	3	NA	3	4	3	3	2	1	2	2	3	15	5	1
IL33	3	3	5	2	2	2	4	4	5	2	5	5	4	3	3	7	16	7	2
IL36A	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	1	2	1	1
IL36G	NA	NA	NA	NA	NA	NA	NA	6	NA	NA	2	NA	NA	NA	NA	NA	2	6	2
IL36RN	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	1	NA	NA	NA	NA	NA	2	1	1
IL37	2	NA	11	1	3	2	NA	NA	4	1	4	1	1	1	NA	2	12	11	1
IL3RA	5	6	4	5	4	7	4	6	4	5	4	6	3	5	4	6	16	7	3
IL4I1	23	22	27	19	20	24	25	20	23	22	25	27	25	25	25	24	16	27	19
IL4R	1	NA	1	3	1	1	1	NA	NA	2	1	1	3	1	1	1	13	3	1
IL6R	NA	1	NA	1	NA	NA	1	NA	1	1	1	1	1	1	1	1	11	1	1
IL6ST	19	18	14	17	19	16	15	13	19	19	19	16	16	12	21	20	16	21	12
IL7R	1	3	1	2	2	2	2	4	2	1	1	5	2	2	1	1	16	5	1
ILDR1	1	NA	NA	1	1	NA	NA	NA	1	NA	NA	1	NA	1	NA	NA	6	1	1
ILF2	27	24	32	33	25	26	30	27	25	30	24	27	27	29	26	25	16	33	24
ILF3	56	50	59	65	60	57	57	56	57	57	54	54	55	57	54	52	16	65	50
ILK	31	34	35	33	33	32	31	32	32	32	30	30	33	32	29	37	16	37	29
ILKAP	22	19	22	19	19	19	19	21	20	19	17	19	17	20	22	19	16	22	17
ILVBL	33	31	34	29	25	25	30	25	26	30	27	28	24	28	30	26	16	34	24
IMMP1L	3	1	1	2	2	1	2	1	NA	2	1	3	2	2	1	2	15	3	1
IMMP2L	1	2	1	1	1	1	1	1	2	1	2	1	2	1	2	2	16	2	1
IMMT	63	64	70	76	62	61	60	64	64	65	68	63	67	68	64	67	16	76	60
IMP3	10	10	11	10	10	9	8	10	10	10	10	9	10	11	11	12	16	12	8
IMP4	12	10	10	7	11	10	11	11	10	11	11	10	13	11	11	12	16	13	7
IMPA1	16	13	16	14	13	15	13	17	13	17	18	16	13	18	16	15	16	18	13
IMPA2	12	14	15	10	11	11	10	10	13	12	13	13	13	13	8	11	16	15	8
IMPACT	10	11	13	14	12	12	11	13	12	12	11	11	11	11	9	11	16	14	9
IMPAD1	13	13	13	15	10	13	12	14	13	14	13	15	12	13	12	13	16	15	10
IMPDH1	19	20	25	23	19	21	23	21	24	24	21	19	23	24	23	29	16	29	19
IMPDH2	33	29	33	35	29	29	33	27	32	30	25	28	30	33	32	32	16	35	25
INA	7	2	13	11	9	11	14	20	4	13	3	4	3	10	17	14	16	20	2
INAVA	9	5	6	9	7	6	5	6	5	7	4	3	8	8	7	8	16	9	3
INCENP	9	9	10	11	3	9	6	12	4	8	12	8	6	10	11	6	16	12	3
INF2	47	49	55	55	47	48	49	51	49	50	47	48	46	45	48	51	16	55	45
ING1	8	7	9	10	6	8	6	7	5	8	7	9	7	8	6	5	16	10	5
ING2	4	5	4	8	7	6	7	5	4	5	4	6	6	5	5	4	16	8	4
ING3	8	7	12	10	10	11	9	10	10	11	10	9	10	9	11	10	16	12	7
ING4	6	5	7	7	3	8	3	6	5	7	4	5	6	6	7	7	16	8	3
ING5	8	5	6	5	3	5	4	6	6	5	6	9	7	8	8	7	16	9	3
INHA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	2	2	2
INHBA	7	10	11	7	7	11	8	9	9	10	7	11	9	8	9	8	16	11	7
INHBB	2	NA	1	NA	NA	1	2	1	2	NA	2	NA	2	1	1	1	11	2	1
INHBC	3	2	3	2	3	3	3	3	3	3	2	3	3	3	3	3	16	3	2
INHBE	NA	1	NA	NA	NA	1	NA	NA	1	NA	1	NA	1	NA	NA	1	6	1	1
INIP	1	1	2	2	1	1	1	1	1	1	1	NA	2	NA	1	NA	13	2	1
INMT	2	3	2	2	3	2	2	1	2	2	2	5	2	2	1	4	16	5	1
INO80	16	14	11	15	16	17	17	14	14	16	15	16	17	14	17	18	16	18	11
INO80C	7	8	6	7	5	6	7	6	7	5	5	5	6	8	8	9	16	9	5
INO80D	6	7	4	7	5	5	4	3	4	4	6	5	8	5	6	5	16	8	3
INO80E	3	3	1	5	2	5	3	1	3	2	1	4	4	3	5	4	16	5	1
INPP1	13	13	11	13	13	13	14	15	15	14	14	13	12	13	14	15	16	15	11
INPP4A	29	29	29	32	29	31	36	27	35	31	31	32	31	30	30	34	16	36	27
INPP4B	31	36	41	40	34	37	33	38	31	47	40	29	34	38	33	33	16	47	29
INPP5A	14	11	13	15	14	12	15	14	14	14	12	15	17	13	13	14	16	17	11
INPP5B	22	23	19	25	17	26	21	21	24	22	16	27	15	22	22	26	16	27	15
INPP5D	44	46	53	54	47	54	50	52	53	57	56	56	51	51	52	56	16	57	44
INPP5E	1	NA	2	1	2	2	2	1	2	2	2	1	1	2	3	1	15	3	1
INPP5F	29	19	20	23	15	14	16	11	17	19	22	21	19	18	18	20	16	29	11
INPP5J	NA	0	NA	1	NA	1	NA	NA	1	2	1	NA	NA	0	2	NA	6	2	0
INPP5K	15	17	11	14	10	12	11	13	11	13	14	11	14	15	13	13	16	17	10
INPPL1	45	48	51	49	47	52	59	45	48	53	47	46	46	41	52	51	16	59	41
INSIG2	2	1	3	1	2	1	2	2	2	3	1	2	3	2	2	2	16	3	1
INSL4	1	NA	NA	1	1	1	NA	1	NA	1	1	1	NA	1	1	NA	10	1	1
INSM1	5	1	NA	NA	2	1	5	3	NA	6	1	NA	NA	1	11	1	11	11	1
INSR	32	36	40	33	33	29	39	37	33	44	27	36	36	37	40	34	16	44	27
INTS1	61	68	74	66	55	66	65	65	62	80	57	62	57	67	67	67	16	80	55
INTS10	23	21	24	25	17	26	23	22	21	24	23	22	24	20	20	26	16	26	17
INTS11	16	14	17	14	13	16	17	16	15	16	13	16	9	13	11	12	16	17	9
INTS12	9	9	13	11	9	11	12	10	13	14	10	13	15	11	14	8	16	15	8
INTS13	34	39	35	37	32	34	32	33	30	38	36	32	34	35	36	32	16	39	30
INTS14	17	23	20	18	16	20	23	25	16	22	20	20	17	20	22	19	16	25	16
INTS2	24	21	24	26	21	22	23	21	26	25	21	18	22	19	20	20	16	26	18
INTS3	38	32	36	35	24	31	35	37	38	43	32	31	32	34	36	34	16	43	24
INTS4	40	45	40	46	40	43	42	42	35	43	45	38	42	36	46	42	16	46	35
INTS5	12	14	13	15	13	14	15	16	14	17	15	16	13	17	17	16	16	17	12
INTS6	23	24	26	24	22	26	28	27	25	31	27	28	26	29	30	26	16	31	22
INTS6L	5	6	4	6	7	7	5	5	5	10	6	8	3	6	8	6	16	10	3
INTS7	18	21	20	20	17	20	23	19	16	20	16	19	17	17	24	23	16	24	16
INTS8	14	15	14	14	13	20	19	15	17	18	18	15	15	19	18	21	16	21	13
INTS9	25	24	22	28	23	19	26	25	24	27	20	25	18	22	24	21	16	28	18
INTU	1	NA	2	3	3	2	2	2	4	5	2	3	2	2	1	2	15	5	1
INVS	4	2	3	3	1	1	2	1	1	4	3	1	3	1	3	4	16	4	1
IP6K1	12	14	16	14	14	15	12	16	12	15	15	15	12	12	15	12	16	16	12
IP6K2	2	2	0	0	1	NA	1	0	0	0	NA	1	4	NA	1	NA	7	4	0
IPCEF1	6	5	6	4	4	5	5	8	10	5	5	8	9	7	6	5	16	10	4
IPMK	2	5	2	4	3	2	4	2	3	4	6	4	3	6	2	3	16	6	2
IPO11	29	28	26	24	26	26	23	22	28	26	28	25	21	23	26	28	16	29	21
IPO13	23	24	20	25	17	24	22	22	18	25	23	24	20	24	24	22	16	25	17
IPO4	39	45	42	41	34	39	34	41	38	43	37	37	42	40	44	40	16	45	34
IPO5	66	67	70	70	64	68	66	70	68	72	64	62	65	66	70	65	16	72	62
IPO7	45	47	51	52	43	45	48	47	44	48	44	40	44	46	49	52	16	52	40
IPO8	29	31	30	30	21	27	32	29	28	30	23	22	24	30	29	31	16	32	21
IPO9	47	48	50	49	44	43	46	47	39	49	46	43	46	45	48	48	16	50	39
IPP	1	4	3	3	2	2	3	3	3	4	2	1	3	2	2	1	16	4	1
IPPK	1	1	1	2	1	1	1	1	1	NA	2	NA	NA	2	NA	3	12	3	1
IQCA1	3	1	NA	NA	1	NA	1	NA	1	2	3	2	1	3	NA	NA	10	3	1
IQCB1	10	13	9	13	10	9	10	9	8	11	9	10	7	14	9	7	16	14	7
IQCC	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	16	2	1
IQCD	NA	NA	NA	2	1	1	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	4	2	1
IQCE	3	NA	4	3	5	5	5	3	5	6	4	2	3	4	4	3	15	6	2
IQCG	1	NA	NA	NA	1	1	2	NA	NA	1	3	NA	2	1	NA	NA	8	3	1
IQCJ-SCHIP1	1	0	1	1	1	1	0	0	0	1	1	0	1	0	0	0	8	1	0
IQCN	1	NA	1	1	1	NA	NA	NA	1	NA	2	NA	NA	NA	3	1	8	3	1
IQGAP1	124	125	136	141	132	125	123	128	127	131	126	131	130	126	134	130	16	141	123
IQGAP2	102	101	104	98	98	99	104	98	108	104	114	108	96	97	98	101	16	114	96
IQGAP3	43	27	33	43	29	35	31	30	30	36	36	24	44	41	39	35	16	44	24
IQSEC1	28	26	29	33	24	25	25	23	24	26	28	22	26	26	23	24	16	33	22
IQSEC2	11	8	10	15	12	13	12	15	11	13	13	15	10	11	9	15	16	15	8
IQSEC3	0	0	0	NA	1	0	0	NA	0	0	0	0	0	0	2	0	2	2	0
IQUB	NA	NA	1	NA	1	NA	1	1	NA	1	2	NA	NA	NA	1	1	8	2	1
IRAK1	9	12	10	12	10	12	10	10	13	13	12	10	11	12	12	14	16	14	9
IRAK1BP1	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	1	1	1
IRAK2	3	3	2	2	3	3	2	2	2	2	2	4	1	5	3	3	16	5	1
IRAK3	13	16	20	21	15	16	14	18	15	13	17	14	14	13	16	18	16	21	13
IRAK4	26	23	22	25	21	21	24	23	26	25	23	23	21	26	23	26	16	26	21
IREB2	31	29	29	28	29	31	29	26	25	30	34	29	31	27	26	30	16	34	25
IRF1	5	4	3	3	5	2	1	3	2	2	2	2	2	2	5	5	16	5	1
IRF2	5	5	6	5	4	5	3	7	6	7	4	5	4	4	6	5	16	7	3
IRF2BP1	22	21	17	21	21	23	23	20	18	20	22	17	23	19	20	18	16	23	17
IRF2BP2	24	26	23	21	24	23	24	21	22	25	23	22	25	21	23	25	16	26	21
IRF2BPL	17	23	19	25	19	22	22	23	15	22	21	22	21	20	19	20	16	25	15
IRF3	16	15	13	11	11	10	14	11	11	12	13	13	12	11	11	11	16	16	10
IRF4	17	18	18	17	13	15	16	19	18	14	14	19	12	14	14	15	16	19	12
IRF5	4	8	6	7	7	10	7	9	9	8	8	7	6	5	5	6	16	10	4
IRF6	17	17	18	18	18	13	17	15	20	22	21	18	19	20	22	17	16	22	13
IRF7	6	6	6	4	5	6	7	7	3	6	6	5	3	6	7	4	16	7	3
IRF8	14	8	13	12	9	16	12	14	18	11	12	14	8	12	12	14	16	18	8
IRF9	13	14	13	14	15	13	14	15	13	15	14	14	14	12	15	13	16	15	12
IRGQ	18	17	19	17	16	15	13	16	18	19	16	16	19	17	16	16	16	19	13
IRS1	17	17	14	16	16	14	14	17	25	19	17	17	21	15	20	17	16	25	14
IRS2	34	38	37	13	25	27	21	19	27	28	29	20	22	20	27	18	16	38	13
IRS4	NA	1	NA	NA	NA	5	NA	NA	NA	NA	NA	4	NA	NA	NA	9	4	9	1
IRX2	1	2	NA	1	NA	1	1	NA	1	NA	NA	1	NA	NA	NA	NA	7	2	1
IRX3	2	3	1	2	1	2	1	2	1	NA	1	1	3	3	3	2	15	3	1
IRX5	1	NA	NA	NA	NA	1	1	NA	1	NA	NA	1	NA	NA	NA	NA	5	1	1
ISCA1	8	4	9	7	6	7	5	7	5	8	8	7	7	5	7	6	16	9	4
ISCA2	7	8	7	8	7	8	7	7	7	7	8	9	7	8	8	7	16	9	7
ISCU	10	10	10	11	9	9	11	10	10	9	10	9	11	11	10	9	16	11	9
ISG15	11	15	14	14	13	14	14	13	13	15	13	12	14	12	13	11	16	15	11
ISG20	14	14	13	14	14	14	14	13	13	15	14	14	13	15	14	14	16	15	13
ISG20L2	17	11	11	13	11	10	12	12	10	13	11	12	13	13	13	8	16	17	8
ISL1	NA	NA	NA	NA	1	NA	1	NA	NA	3	NA	NA	NA	0	3	NA	4	3	0
ISL2	NA	NA	1	NA	NA	NA	NA	1	1	1	NA	NA	1	0	0	NA	5	1	0
ISLR	6	5	5	5	6	7	5	6	5	7	6	6	6	6	6	6	16	7	5
ISLR2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	1	3	3
ISOC1	16	17	19	21	16	15	18	16	15	18	18	18	17	17	17	17	16	21	15
ISOC2	9	9	11	10	10	10	10	10	8	8	10	9	10	9	9	10	16	11	8
ISPD	3	4	4	6	5	8	6	7	7	6	7	5	6	7	7	9	16	9	3
IST1	12	14	15	16	13	13	9	15	12	12	14	15	12	15	12	14	16	16	9
ISYNA1	17	14	24	18	17	21	20	18	18	21	20	20	20	19	20	17	16	24	14
ITCH	31	26	32	32	29	25	27	29	26	28	26	27	29	27	26	28	16	32	25
ITFG1	10	11	10	10	12	9	12	14	10	10	10	10	10	10	11	12	16	14	9
ITFG2	12	13	15	10	9	13	10	14	9	13	8	9	13	9	14	8	16	15	8
ITGA1	35	36	33	36	37	36	36	38	37	34	34	34	36	35	36	35	16	38	33
ITGA10	NA	NA	NA	1	4	NA	NA	NA	NA	NA	4	1	NA	NA	NA	1	5	4	1
ITGA11	27	23	33	23	24	25	23	26	28	29	27	27	26	27	23	27	16	33	23
ITGA2	40	35	42	41	42	39	39	40	38	39	36	42	35	34	40	38	16	42	34
ITGA2B	20	10	12	15	15	14	14	20	21	15	12	14	18	10	13	15	16	21	10
ITGA3	30	25	26	33	29	24	29	27	29	29	26	25	24	23	29	27	16	33	23
ITGA4	19	17	19	15	17	18	22	17	18	17	16	23	21	18	20	25	16	25	15
ITGA5	18	15	15	14	16	13	14	19	16	12	13	17	12	13	16	17	16	19	12
ITGA6	46	38	47	54	47	40	44	46	49	46	42	44	40	46	42	47	16	54	38
ITGA7	15	12	17	10	13	14	24	19	20	17	17	17	15	17	9	21	16	24	9
ITGA8	8	8	14	11	14	9	21	14	15	11	16	15	10	15	10	17	16	21	8
ITGA9	21	24	23	27	31	18	30	23	26	20	19	22	27	14	18	19	16	31	14
ITGAD	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	1	0
ITGAE	8	4	8	4	6	8	6	8	8	8	7	8	6	5	7	12	16	12	4
ITGAL	19	21	20	29	23	23	24	22	23	20	23	25	22	22	25	23	16	29	19
ITGAM	39	41	41	41	32	35	36	40	39	35	37	39	35	40	33	36	16	41	32
ITGAV	56	54	56	54	57	54	48	52	50	54	52	47	50	55	57	55	16	57	47
ITGAX	25	28	27	27	22	26	24	31	28	27	28	31	28	26	25	27	16	31	22
ITGB1	45	46	53	57	49	51	50	50	46	48	50	47	45	51	49	47	16	57	45
ITGB1BP1	6	5	8	6	5	8	6	7	4	5	3	6	5	4	3	4	16	8	3
ITGB1BP2	NA	1	NA	1	1	1	1	1	NA	NA	1	NA	NA	NA	1	NA	8	1	1
ITGB2	44	43	44	45	43	40	42	44	42	41	44	43	44	47	38	40	16	47	38
ITGB3	2	1	1	1	1	1	1	1	1	1	1	1	1	0	0	2	14	2	0
ITGB3BP	2	NA	NA	1	NA	1	2	1	NA	2	1	1	1	2	2	1	12	2	1
ITGB4	78	50	62	82	69	63	71	69	60	76	67	70	70	76	62	75	16	82	50
ITGB5	42	35	33	35	34	37	33	38	38	37	33	32	34	30	32	37	16	42	30
ITGB6	24	25	26	22	24	21	22	21	25	25	24	21	21	22	23	26	16	26	21
ITGB7	12	11	10	10	8	13	10	11	12	12	13	13	7	10	13	13	16	13	7
ITGB8	11	3	11	7	6	5	6	5	7	4	3	6	6	9	6	8	16	11	3
ITGBL1	11	10	11	7	10	12	11	11	8	10	11	10	11	9	9	7	16	12	7
ITIH1	40	40	50	44	42	45	41	49	49	50	42	44	43	46	40	42	16	50	40
ITIH2	41	35	39	39	38	35	37	37	37	40	35	40	42	38	38	39	16	42	35
ITIH3	24	24	28	23	22	22	25	25	25	24	26	27	24	24	22	25	16	28	22
ITIH4	48	47	49	45	42	46	47	45	46	48	45	45	45	43	44	43	16	49	42
ITIH5	11	11	10	17	11	12	15	20	17	8	14	16	11	11	6	15	16	20	6
ITIH6	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	2	4	1
ITK	1	NA	3	2	NA	2	1	1	2	1	1	1	NA	2	1	2	13	3	1
ITLN1	12	4	2	3	2	1	1	4	4	5	3	1	1	2	1	5	16	12	1
ITLN2	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	2	0
ITM2A	2	1	NA	2	NA	1	2	NA	2	NA	NA	1	1	2	2	2	11	2	1
ITM2B	10	11	11	11	9	10	9	10	12	12	12	10	8	9	10	10	16	12	8
ITM2C	7	6	5	5	2	5	4	5	6	6	7	7	5	5	5	7	16	7	2
ITPA	12	12	12	12	12	12	12	12	12	12	12	11	12	12	11	11	16	12	11
ITPK1	14	11	9	12	9	9	9	10	7	9	9	8	11	9	10	13	16	14	7
ITPKA	4	3	8	6	11	3	8	2	7	6	7	8	10	9	14	13	16	14	2
ITPKB	22	20	14	16	17	12	10	17	18	23	17	16	11	16	18	14	16	23	10
ITPKC	13	14	13	15	14	15	14	11	14	12	13	13	12	11	12	18	16	18	11
ITPR1	72	68	67	74	74	67	75	72	85	65	75	73	72	75	64	77	16	85	64
ITPR2	90	95	85	85	84	85	97	89	91	87	84	84	74	83	80	102	16	102	74
ITPR3	100	111	112	115	114	102	115	112	103	112	112	106	110	96	114	111	16	115	96
ITPRIP	16	15	14	17	12	13	13	17	15	15	15	16	13	13	12	13	16	17	12
ITPRIPL1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	1	1	1
ITPRIPL2	7	7	7	8	5	5	5	8	7	8	8	8	6	4	5	9	16	9	4
ITSN1	39	40	41	44	42	41	39	43	37	42	41	32	45	38	38	45	16	45	32
ITSN2	56	58	58	64	55	60	58	58	53	56	54	50	55	56	60	61	16	64	50
IVD	21	21	24	24	25	23	23	23	24	23	22	23	26	21	22	23	16	26	21
IVL	5	1	10	24	13	18	13	22	14	11	23	18	18	16	3	22	16	24	1
IVNS1ABP	19	22	22	18	12	18	19	21	15	21	15	19	14	15	22	15	16	22	12
IWS1	18	15	12	22	8	11	15	17	5	14	16	6	3	12	9	7	16	22	3
IYD	3	5	1	2	10	2	5	3	1	10	5	5	11	2	5	2	16	11	1
IZUMO1	1	1	1	2	1	NA	1	NA	1	1	NA	1	1	NA	1	2	12	2	1
IZUMO3	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	2	1	1
JADE1	2	6	4	2	4	8	3	4	10	6	5	1	5	4	3	4	16	10	1
JADE2	11	9	7	10	9	20	12	10	9	8	13	14	9	12	11	13	16	20	7
JADE3	7	10	9	10	5	15	8	10	6	10	7	7	7	11	16	6	16	16	5
JAG1	18	12	12	18	19	12	19	18	9	11	16	14	16	15	21	18	16	21	9
JAG2	1	1	NA	1	2	2	1	4	1	4	1	1	2	6	2	1	15	6	1
JAGN1	3	2	3	2	3	1	3	3	3	3	2	3	3	3	2	3	16	3	1
JAK1	42	39	52	47	35	38	48	43	43	39	37	43	35	38	37	47	16	52	35
JAK2	20	17	19	22	16	19	18	15	19	18	17	22	14	18	18	21	16	22	14
JAK3	19	13	13	12	12	16	12	14	15	14	10	20	10	19	18	17	16	20	10
JAKMIP1	2	5	2	1	2	3	6	1	4	3	5	0	1	2	3	3	15	6	0
JAKMIP2	NA	1	NA	NA	1	9	8	2	0	0	0	0	1	NA	3	1	8	9	0
JAKMIP3	NA	0	1	NA	0	0	0	0	0	0	0	0	1	NA	0	0	2	1	0
JAM2	7	7	5	6	7	5	7	7	8	9	5	4	5	5	4	6	16	9	4
JAM3	8	7	7	7	6	7	6	10	7	9	7	9	6	7	7	7	16	10	6
JAML	2	3	3	3	1	2	2	NA	3	2	1	1	3	2	NA	2	14	3	1
JARID2	6	3	4	6	3	4	3	6	2	5	5	2	3	6	5	5	16	6	2
JCAD	33	26	25	34	27	26	27	29	30	29	26	29	26	26	27	33	16	34	25
JCHAIN	7	7	6	10	5	7	6	8	6	6	7	7	5	6	5	5	16	10	5
JDP2	1	2	2	2	1	2	2	2	1	NA	2	1	1	1	1	1	15	2	1
JHY	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	2	1	1
JKAMP	NA	1	2	2	1	NA	NA	NA	NA	1	1	3	2	1	NA	2	10	3	1
JMJD1C	34	45	30	34	27	31	30	35	27	23	25	26	29	30	39	28	16	45	23
JMJD4	3	4	4	3	1	3	2	3	3	4	4	5	3	4	4	7	16	7	1
JMJD6	8	10	12	10	9	8	8	7	11	7	9	6	6	10	10	8	16	12	6
JMJD7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	16	1	1
JMJD8	1	3	1	3	3	4	3	4	5	4	2	4	4	3	2	5	16	5	1
JMY	14	14	9	12	16	17	11	15	10	16	14	10	18	13	16	19	16	19	9
JOSD1	2	1	1	2	2	2	3	1	2	3	3	3	2	2	2	2	16	3	1
JOSD2	3	3	4	3	3	4	3	4	4	4	3	4	3	4	3	3	16	4	3
JPH1	5	7	5	6	9	7	5	6	7	8	6	6	5	10	11	10	16	11	5
JPH2	2	3	3	4	6	4	3	4	5	3	3	4	2	3	1	4	16	6	1
JPT1	7	2	6	4	4	3	3	5	4	4	4	4	5	3	5	4	16	7	2
JPT2	11	7	11	13	12	11	9	8	4	8	8	7	5	9	9	8	16	13	4
JRK	2	NA	2	2	NA	2	1	2	NA	2	1	NA	NA	1	1	NA	10	2	1
JRKL	3	5	3	4	4	5	2	4	3	4	4	2	3	4	3	4	16	5	2
JSRP1	5	4	5	5	4	4	4	4	6	5	3	5	4	3	3	5	16	6	3
JTB	1	1	2	1	1	2	1	2	1	1	1	2	1	1	1	1	16	2	1
JUN	2	3	2	3	3	3	3	3	2	2	2	2	3	2	2	3	16	3	2
JUNB	9	10	6	10	8	9	9	8	7	7	7	8	7	10	8	8	16	10	6
JUND	6	4	4	4	4	5	6	8	5	5	6	5	4	5	5	6	16	8	4
JUP	42	42	45	52	41	44	41	42	41	41	41	37	41	43	44	44	16	52	37
KALRN	13	6	11	9	13	11	10	12	10	14	11	10	7	15	16	13	16	16	6
KANK1	27	25	26	25	23	26	34	28	20	24	26	24	25	23	27	24	16	34	20
KANK2	40	39	41	44	48	44	43	47	45	41	37	39	36	39	35	42	16	48	35
KANK3	18	12	11	16	12	12	11	19	18	14	14	16	14	16	12	15	16	19	11
KANK4	14	6	14	9	11	4	12	10	8	8	5	9	4	10	15	7	16	15	4
KANSL1	13	7	11	14	11	15	15	13	14	12	11	11	14	11	14	12	16	15	7
KANSL1L	NA	NA	NA	NA	1	1	NA	NA	1	NA	NA	1	NA	2	1	NA	6	2	1
KANSL2	7	9	6	6	4	8	7	6	5	8	7	6	4	7	8	8	16	9	4
KANSL3	15	12	14	14	10	17	14	11	14	13	11	12	12	11	10	12	16	17	10
KARS	50	51	54	56	51	49	46	51	49	53	49	52	50	47	51	54	16	56	46
KAT14	6	4	8	9	8	7	11	10	5	8	6	3	4	7	8	7	16	11	3
KAT2A	12	7	10	11	8	12	12	8	12	10	9	10	11	15	11	12	16	15	7
KAT2B	5	8	7	9	6	10	9	9	6	7	4	8	4	6	5	6	16	10	4
KAT5	8	5	9	6	7	8	8	9	9	11	6	9	9	10	10	11	16	11	5
KAT6A	18	16	18	19	16	24	14	21	13	20	15	19	16	19	18	20	16	24	13
KAT6B	4	7	7	7	6	10	9	5	4	3	6	3	6	5	6	4	16	10	3
KAT7	23	19	25	23	18	23	24	21	21	23	23	20	22	23	25	25	16	25	18
KAT8	20	17	16	19	18	19	19	19	17	20	20	21	18	18	18	17	16	21	16
KATNA1	17	17	15	14	16	14	13	17	15	17	18	15	17	19	19	18	16	19	13
KATNAL1	12	10	11	10	9	10	12	10	11	7	11	11	11	8	7	9	16	12	7
KATNAL2	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	16	2	1
KATNB1	15	18	19	21	17	19	19	20	19	16	20	18	19	19	17	20	16	21	15
KATNBL1	4	3	4	3	3	4	4	4	3	3	4	3	3	3	3	4	16	4	3
KAZN	6	7	5	10	6	6	4	7	7	11	7	6	6	11	3	5	16	11	3
KBTBD11	16	14	17	10	17	14	16	16	18	15	12	12	19	12	17	17	16	19	10
KBTBD2	9	4	9	8	9	8	11	12	8	11	8	12	9	8	11	9	16	12	4
KBTBD3	2	NA	NA	NA	NA	1	NA	1	NA	NA	3	NA	1	NA	1	1	7	3	1
KBTBD4	7	3	3	3	2	4	3	4	4	4	3	6	2	2	2	5	16	7	2
KBTBD6	6	5	5	2	3	5	6	5	5	7	4	4	3	5	3	4	16	7	2
KBTBD7	6	2	3	3	3	4	4	3	5	5	3	5	4	5	5	3	16	6	2
KBTBD8	4	NA	2	3	1	2	2	1	3	NA	2	4	1	2	2	2	14	4	1
KCMF1	7	10	9	8	8	8	10	9	10	9	6	8	7	8	6	9	16	10	6
